Price,Close,High,Low,Open,Volume
Ticker,CMI,CMI,CMI,CMI,CMI
Date,,,,,
2020-11-27,202.8388214111328,205.64630818531708,202.40485146288094,205.0263607691288,538300
2020-11-30,204.73410034179688,205.64631159370154,200.3767381980028,202.56427759225508,2608000
2020-12-01,204.01673889160156,208.8789242286595,203.47649607637288,207.81614172970154,1229600
2020-12-02,201.20040893554688,204.58357233262683,201.11185272682516,203.14883472121718,1067900
2020-12-03,195.14260864257812,202.26318714417118,194.2215457116543,201.4926684134101,1923100
2020-12-04,194.77947998046875,197.02902101626177,194.0975445252406,195.46142894953812,1544800
2020-12-07,194.03550720214844,195.39053981030864,191.77711501726856,194.8414455155568,1660900
2020-12-08,195.7625274658203,197.2504147686777,193.7964123914303,193.7964123914303,1159000
2020-12-09,198.55235290527344,199.14573223279757,194.6643797638519,196.01056122349155,1426300
2020-12-10,194.44293212890625,197.94121943403272,194.15066830405422,197.53381768955526,1166200
2020-12-11,193.6547088623047,195.13373110593108,192.53878999173324,193.41558145949077,1137500
2020-12-14,191.66197204589844,196.38245004904655,191.66197204589844,195.44365727821545,1033600
2020-12-15,198.4194793701172,199.71252427604352,193.54844219265271,193.54844219265271,1264400
2020-12-16,197.33897399902344,198.7382780060889,196.1079172915926,198.32202472710534,840300
2020-12-17,197.8792266845703,199.5176717865071,196.11680560594914,198.2600602357958,774000
2020-12-18,198.65858459472656,199.40252149172784,196.1256450049783,198.44603891777766,1791800
2020-12-21,199.02174377441406,200.17308265331874,194.4872548512925,195.04520088569907,655300
2020-12-22,197.9766387939453,199.71250509473876,197.18841703057734,198.8002938465884,944500
2020-12-23,198.5789031982422,199.91621945624945,196.64819415242283,197.70211163672917,561200
2020-12-24,200.62474060058594,200.77529831360854,198.41948430405992,199.52653823555738,197300
2020-12-28,198.50802612304688,202.5288394910143,198.34861686596096,201.84690409502673,407000
2020-12-29,197.2238311767578,199.51764317950798,195.52339833028825,198.74713813556494,563400
2020-12-30,199.2608642578125,200.04908614874296,197.9235344049746,198.2777997858572,390600
2020-12-31,201.12950134277344,201.29776213658377,198.25116201298027,199.18994129371416,480400
2021-01-04,196.0547637939453,202.94506445183157,194.62002662516412,201.64316831207154,999200
2021-01-05,196.28509521484375,198.3220636441616,195.37288385351496,195.37288385351496,1297400
2021-01-06,206.87738037109375,209.2331943957607,198.16265500974163,198.24235964999886,1366000
2021-01-07,211.8546905517578,212.34178344259166,207.373325142589,208.91434899178594,1351400
2021-01-08,207.5150146484375,213.6613793929827,204.84923401301424,212.69603174080856,1455800
2021-01-11,209.614013671875,211.12846940024986,205.15037815439044,206.11572594188124,1083800
2021-01-12,214.35218811035156,214.93671577158167,209.49000286004022,209.67599384819184,1037600
2021-01-13,213.3248291015625,215.3440940984694,212.368333021895,214.39646309782626,1032600
2021-01-14,213.7322235107422,216.09688866256113,213.52852940776322,213.9447826924417,781700
2021-01-15,210.10995483398438,211.9432288573517,206.60280253029384,211.9432288573517,1823100
2021-01-19,211.10186767578125,213.82964975883027,209.8442562275812,212.8023006274534,1095400
