Price,Close,High,Low,Open,Volume
Ticker,DG,DG,DG,DG,DG
Date,,,,,
2020-11-27,202.15135192871094,202.3831662457403,200.59356650970867,201.1499123812853,723000
2020-11-30,202.6798858642578,203.01369903108866,198.72977518077806,202.6149710670968,2911400
2020-12-01,203.8481903076172,205.54507243886852,202.21622296251942,202.96729892332476,2027700
2020-12-02,201.7154998779297,203.51438088514726,200.79752441978687,203.15275118825033,1756600
2020-12-03,198.88739013671875,200.28754333217825,196.11488617942453,197.95085136496624,3042300
2020-12-04,197.90447998046875,200.16698961308222,196.75469020894573,198.61847192327696,1867200
2020-12-07,197.83958435058594,201.40953000622818,196.5135992803567,198.44229583325853,1962100
2020-12-08,195.9943389892578,197.36668975645821,194.90018234524743,196.71759843332396,1691500
2020-12-09,193.77822875976562,196.77328005941865,191.11700480662302,196.11492114357245,2347400
2020-12-10,190.8944091796875,193.73181356057617,190.32878179894158,193.27746664983968,2264100
2020-12-11,191.5806121826172,192.70259962902804,190.72753724968678,191.1540676417409,1745500
2020-12-14,190.92222595214844,192.59129151576877,190.66259510323195,191.75676580836867,1858500
2020-12-15,192.66549682617188,193.76893514047,190.90371383366312,191.57134013897254,2246700
2020-12-16,195.66986083984375,196.81038348209725,192.64699265549493,192.82317382560421,1710400
2020-12-17,197.08853149414062,197.84887508243514,196.08709196538317,196.58780465535048,1670000
2020-12-18,195.16909790039062,197.74687186909546,194.68693432771636,197.38524211517853,4192600
2020-12-21,195.61416625976562,196.76395602155924,191.77532238818554,193.79673609767477,1996800
2020-12-22,197.5706787109375,197.96939247577802,195.49361769630474,196.61559087317923,1703500
2020-12-23,195.80886840820312,197.82101449710498,195.6697855110425,196.44867803278134,1691200
2020-12-24,195.91087341308594,196.90304527344773,195.31742945182936,195.9757881996831,535700
2020-12-28,195.0856475830078,197.65415406558034,194.36238807725883,197.6356049593548,1269800
2020-12-29,195.9665069580078,196.43013549579933,194.80743561352898,195.42869615631122,1129800
2020-12-30,194.6591033935547,196.64344744751403,194.63128680857605,195.9109063128833,1057400
2020-12-31,195.00222778320312,195.29894278427892,193.0086159479745,194.60349975662757,1396200
2021-01-04,194.78858947753906,196.54411045143965,193.01448758765238,195.29016082447373,2036700
2021-01-05,192.02059936523438,195.05793402059027,191.7140780538604,194.52848425373924,1781100
2021-01-06,199.99009704589844,200.68673247613947,191.16604826284552,191.8719812362636,2648100
2021-01-07,202.22862243652344,202.93454123734577,199.33062358010275,199.70215680725468,1519000
2021-01-08,200.45449829101562,203.4175229245968,199.20056316039845,203.08313738848238,1859200
2021-01-11,199.94363403320312,202.16357817283875,199.34917241929057,200.0458077874576,1605000
2021-01-12,202.84161376953125,203.20386353506208,198.44815722514997,199.50704224540013,2155900
2021-01-13,202.69305419921875,203.9562870645974,200.6681597625732,201.75492355047055,1169400
2021-01-14,198.06739807128906,202.35866794744146,197.94664339012274,201.65274912058095,2568700
2021-01-15,196.3954620361328,198.5503802557185,195.47589816929948,198.06738989715518,1795700
2021-01-19,191.3982696533203,197.3243198785845,191.30539342848974,196.45120116128524,2148100
2021-01-20,190.52511596679688,192.38281019946248,189.4197856306677,192.16917933116895,2740700
2021-01-21,192.9401397705078,194.4913128796898,189.9585340493536,191.0452835627416,2085100
2021-01-22,191.53761291503906,193.46960287661207,191.11962028077764,192.9401672719452,1455300
2021-01-25,191.8719940185547,193.19095548690862,190.5158707211851,192.04846310058127,1511600
2021-01-26,191.45394897460938,192.79149099125632,190.65513994650527,192.41066030008412,1472500
2021-01-27,185.42578125,192.96801639263066,184.3854626911968,190.73878865949462,3201600
2021-01-28,184.88702392578125,187.17197992698252,184.1439433877087,184.84986210368228,6267000
2021-01-29,180.76296997070312,185.7694562497094,180.54004152089297,185.34218026417778,4483800
2021-02-01,179.03529357910156,181.85898276437413,178.6544628345399,180.76294989729405,3087100
2021-02-02,181.45028686523438,183.9117260138639,179.555430842105,179.8155068965609,3729500
2021-02-03,181.84970092773438,182.89000524059048,181.13448462610415,181.71037951907803,3184400
2021-02-04,181.79396057128906,182.9085742874846,180.13131627940166,182.11906273450884,2842700
2021-02-05,180.02915954589844,184.98919987383263,179.28607899900118,182.28625129387157,3784600
2021-02-08,184.26470947265625,184.626959308624,181.05089196982476,181.42243934843484,3475800
2021-02-09,189.0111083984375,189.38264158280148,184.4969107603108,186.4196169576723,3080900
2021-02-10,186.99549865722656,191.1195677365014,186.66111314560086,190.8780726009701,2169200
2021-02-11,185.8065948486328,188.31449372423728,185.67655680251943,186.62398495167923,1495800
2021-02-12,184.46905517578125,186.5961089767344,183.883876918395,185.76943555543605,1561100
2021-02-16,185.98304748535156,187.07909441343975,183.68879405619003,184.39472691013617,1681100
2021-02-17,187.1626739501953,187.56207136447927,184.6733707473856,185.45359884022918,1453700
2021-02-18,188.39808654785156,188.60243407358487,184.37617631585897,184.86846421701176,1562900
