Price,Close,High,Low,Open,Volume
Ticker,ELV,ELV,ELV,ELV,ELV
Date,,,,,
2020-11-27,292.926513671875,293.61951785145936,288.65623157686673,289.0776526512265,533300
2020-11-30,291.7278137207031,295.2676532772037,289.6863251496282,291.98067777531116,1645700
2020-12-01,293.9566345214844,306.08387911979554,293.40412308077526,296.8596844702079,1364200
2020-12-02,298.2175598144531,301.2048881467248,293.179368995044,293.22618085583287,1131700
2020-12-03,302.506591796875,304.8477566495204,297.8898215663396,297.95538104109505,1255000
2020-12-04,303.62420654296875,307.0336085590787,301.5672950566043,302.06508471942993,931400
2020-12-07,299.8392028808594,304.4977954132703,297.7635165742107,301.98064204094646,697500
2020-12-08,303.0794982910156,303.36125523761615,296.7021318786171,297.4159543606251,1637000
2020-12-09,299.0877380371094,304.37559575796246,297.03082662059705,303.13580803730497,1016500
2020-12-10,294.68280029296875,299.660697486118,294.42921903847576,298.3551854031079,1224500
2020-12-11,292.4756774902344,296.7116061592864,291.3110436078051,293.1895001474508,1372900
2020-12-14,291.254638671875,297.0027100406162,290.78502462327896,295.04912821016194,918600
2020-12-15,294.1849365234375,295.53742686622434,291.64900996497255,293.96890380793747,1544900
2020-12-16,291.3861389160156,293.87511650224974,288.192768863734,293.47122660442363,1003200
2020-12-17,294.9927673339844,296.22318259123364,290.9540977186622,290.9540977186622,1103900
2020-12-18,289.8833312988281,296.1573671917857,287.77944117785876,294.9739307901756,2829600
2020-12-21,287.7607116699219,288.00492014960383,280.45351815258414,284.9054502023729,1121600
2020-12-22,284.86785888671875,288.68112251398725,284.17283929506823,287.30048478342707,1036800
2020-12-23,289.6109924316406,292.7292366249763,287.80766185508287,287.80766185508287,777200
2020-12-24,289.91156005859375,290.78503534206806,289.18833605279787,289.2540889011371,224500
2020-12-28,293.8751220703125,296.22319254485694,290.65354759538053,291.75245718917404,723400
2020-12-29,295.2275695800781,299.67012901517575,294.5513241705935,296.23255057220933,766000
2020-12-30,294.9645080566406,297.1435236454809,294.8048553662373,294.91755812721857,574600
2020-12-31,301.5767517089844,302.60990836706105,295.236961938974,295.9977344183378,749300
