Price,Close,High,Low,Open,Volume
Ticker,ETN,ETN,ETN,ETN,ETN
Date,,,,,
2020-11-27,112.33139038085938,113.20681676902856,111.74162811357304,113.0685896997069,1039900
2020-11-30,111.60340118408203,112.56176662725329,110.58974772532116,112.23924148544586,3567100
2020-12-01,111.2255630493164,113.74127281053265,111.14263103931351,112.95799558380894,2483200
2020-12-02,109.58528137207031,111.49279484743336,108.72828215673218,110.22112154069778,2101200
2020-12-03,107.56720733642578,110.06448331533271,107.26310920945224,109.46550407355701,3257200
2020-12-04,109.4931411743164,110.26720844593032,107.7607156129251,107.7607156129251,1490800
2020-12-07,108.18460083007812,109.2811861116292,107.78835371962133,109.15217607850553,1310400
2020-12-08,108.60850524902344,109.23512849975788,107.14330964973128,107.65935687596695,1618000
2020-12-09,108.63613891601562,109.64979221706498,107.63170262630408,109.12453505912451,1511200
2020-12-10,106.1112289428711,107.93580364688086,105.76105278494491,107.93580364688086,1401500
2020-12-11,106.52588653564453,106.86684562838273,105.14363020422046,105.33714524695752,1279200
2020-12-14,104.90404510498047,107.3276058896627,104.89483512404541,106.86685374419702,1771700
2020-12-15,107.39213562011719,107.93581990222089,104.85799823694188,106.02830586228797,1983500
2020-12-16,106.3139419555664,107.53032721686489,106.0374878836953,107.44738818309592,1610600
2020-12-17,106.24024200439453,107.02351933006787,105.17129353696602,106.71942119393522,1794700
2020-12-18,106.96823120117188,107.33683436300943,105.32795451304132,106.00064878016336,4499000
2020-12-21,107.79757690429688,108.32283407795892,105.00541294901977,106.1388663398273,2548500
2020-12-22,107.45661926269531,108.39655057518588,106.64569799249718,107.98187644360593,1552700
2020-12-23,107.8344497680664,109.345723563892,107.7975957761995,108.28599201942919,1109400
2020-12-24,108.80201721191406,108.81123422386558,106.90372052007082,108.0003059046159,362200
2020-12-28,108.47950744628906,110.54367549269342,108.42421942779823,109.72353707598076,1075500
2020-12-29,107.96344757080078,109.22590396704074,106.93136021991187,108.95866687536807,874300
2020-12-30,109.93547058105469,110.2119176647598,108.32283798595425,108.61771909355181,1288400
2020-12-31,110.70954132080078,110.9491344404174,109.41022373432625,109.90782993815338,1056900
2021-01-04,109.42862701416016,112.03648566527488,108.61770582495797,110.85696137897376,1947800
2021-01-05,110.5897445678711,111.07814077302399,108.90338983532688,109.03239988836648,1217200
2021-01-06,116.52423095703125,118.28430777177017,112.57098318683111,112.7092032252487,3083000
2021-01-07,118.95698547363281,119.79555775255015,116.50578771702784,117.75903411441918,2585300
2021-01-08,116.92046356201172,119.70340346669816,115.31704804157701,119.13207529774367,2695400
2021-01-11,116.99420166015625,117.74061799914267,115.30784686490757,115.3723518938259,1490100
2021-01-12,118.26586151123047,118.5146716156833,116.25698883516569,117.02183208052648,1479700
2021-01-13,115.56586456298828,118.26586557448805,115.4644985214723,117.86962545104224,2344100
2021-01-14,114.8378677368164,116.6624423032363,114.44162060887352,116.32149021372906,4047400
2021-01-15,113.50169372558594,113.71364282814844,111.50203089195595,113.23445660953779,2590400
