Price,Close,High,Low,Open,Volume
Ticker,GWW,GWW,GWW,GWW,GWW
Date,,,,,
2020-11-27,392.3759460449219,396.3037037957014,391.66611448270197,391.66611448270197,140600
2020-11-30,395.8966979980469,396.3226084738336,389.5366062661391,391.8270087359215,565500
2020-12-01,391.0131530761719,404.9826206186195,390.66294519255194,401.60381495745474,346800
2020-12-02,385.5047912597656,393.1520304842401,384.34065711460886,389.66913059519703,254300
2020-12-03,381.11328125,388.4198150981942,380.1479207480879,383.37529163409914,256400
2020-12-04,383.0914001464844,385.618413537307,380.5833340849228,380.5833340849228,226400
2020-12-07,383.3089904785156,387.18940825751395,380.7630593175275,380.88610139255997,228000
2020-12-08,384.8896179199219,386.27141528573924,381.41616273679784,381.41616273679784,215300
2020-12-09,389.1958923339844,390.738597462606,385.96852154901,388.1642739883134,245800
2020-12-10,380.7726135253906,386.4512664374026,379.05008187679766,386.4512664374026,254500
2020-12-11,381.917724609375,384.14186900158336,378.57678563150165,378.57678563150165,265600
2020-12-14,379.01220703125,384.1514097447797,378.57685173902416,378.57685173902416,241300
2020-12-15,383.8768310546875,386.22398842425196,380.0437241233,381.8987709979019,207400
2020-12-16,384.6151428222656,386.4512427954722,380.50758759983955,383.5740507421298,255900
2020-12-17,388.0790710449219,389.0633498917371,385.2397451526359,385.7508030174034,259100
2020-12-18,388.4765625,389.65961496122424,382.8830869973579,388.4860361622872,536500
2020-12-21,389.7259521484375,391.83652856673024,380.0911778752961,383.30907544811254,317400
2020-12-22,388.3535461425781,391.5809169365138,388.04123298070243,391.30646954317774,262500
2020-12-23,388.6658630371094,390.29374438154997,381.8325508553794,388.1358578443256,321100
2020-12-24,393.31292724609375,393.75775616219926,388.3914170629317,388.3914170629317,152800
2020-12-28,392.1109619140625,399.9285831306899,391.7229460588909,395.9440698607412,203700
2020-12-29,385.4669189453125,394.3350763779885,383.86742956196093,393.3791895431079,202600
2020-12-30,385.0410461425781,387.8235883667603,381.3783196532075,385.34391456171466,179900
2020-12-31,386.4701232910156,386.952817954209,380.76307917929654,383.99044986925395,223500
2021-01-04,372.6332092285156,389.45147605161304,370.2197932683373,388.45772333462725,432700
2021-01-05,373.7120666503906,377.3937398193584,371.885440559514,371.885440559514,381800
2021-01-06,375.8983459472656,379.721950466236,373.3240227978094,374.6963462368709,377900
2021-01-07,378.5862731933594,379.4191467736259,370.43739256423834,376.92052603282633,319900
2021-01-08,375.43463134765625,382.5140283905613,367.53183432964204,381.8609810551741,418400
2021-01-11,370.73077392578125,374.6206654201331,370.13451086668874,372.6520499589034,336600
2021-01-12,380.1479187011719,381.0186292159055,369.9074087496424,372.53851650323026,350600
2021-01-13,367.6832580566406,380.62113342314643,366.66111336429356,379.968086106354,400400
2021-01-14,362.8658752441406,371.0809852847018,361.55033581730396,368.70543538593716,323100
2021-01-15,367.8442077636719,369.3585209732102,358.1053099984702,361.5408996081931,852500
2021-01-19,373.3618469238281,374.25150459911623,367.8441034878819,370.5603870543644,340300
2021-01-20,371.9138488769531,374.84782492176976,367.5318176938047,374.84782492176976,307900
2021-01-21,370.20074462890625,374.724735770497,368.84733963939163,371.0052260231815,316600
2021-01-22,372.4154968261719,374.6396415625196,365.8661335959168,368.83794680372864,248400
2021-01-25,367.1627197265625,373.6363796805111,365.9796672009918,372.3776245018759,306500
2021-01-26,356.51531982421875,368.84746071461257,356.34496715768586,367.2384973979153,346300
2021-01-27,350.6188659667969,354.5087572813314,341.6371413790933,353.7989258405805,636400
2021-01-28,351.99127197265625,356.5247375527291,349.05729579359434,351.3098325303136,660000
2021-01-29,344.8739929199219,353.96928611365246,341.6087566685683,349.99421840618857,460800
2021-02-01,350.4864807128906,352.6822335380456,346.6628461564137,347.5241120201544,395500
2021-02-02,353.12701416015625,358.0769169666616,350.164674513975,354.72650369269945,419400
2021-02-03,346.5019226074219,352.0291701954813,337.15109840201717,349.00054375406154,661700
2021-02-04,352.07647705078125,358.0958352138799,346.39782419512346,348.6882268888125,491500
2021-02-05,349.634033203125,354.5568431004952,346.6119247953096,353.06481447302104,431700
2021-02-08,360.00238037109375,362.95798640868077,351.09759811087565,351.09759811087565,395300
2021-02-09,356.0869140625,360.3920016696319,354.3382722157023,359.2325726296201,325300
2021-02-10,357.5694580078125,359.0520028091942,354.48081817120016,357.12279200980635,357100
2021-02-11,355.5736999511719,362.22615468927575,353.5684739441245,360.33496612306885,207600
2021-02-12,353.60650634765625,357.20834393355744,352.0384333572067,353.948647710564,206300
2021-02-16,351.2972106933594,356.20102490571446,351.2877269058264,355.070104994212,222100
2021-02-17,353.7015686035156,354.99406082692155,348.7787582138271,349.54854007388855,209600
2021-02-18,357.1322937011719,358.5958128811634,351.3066393345883,351.3066393345883,200600
2021-02-19,360.5630798339844,364.51654255581053,358.29175655290885,358.5863629742734,228600
2021-02-22,358.6053161621094,362.1501345805698,356.7996557005432,360.08786087812376,191900
2021-02-23,360.7341613769531,361.54196539656425,350.92656268769935,360.52508303072915,284300
2021-02-24,366.4267272949219,368.1278341705349,359.7077408681945,361.00971669013364,314700
2021-02-25,361.09527587890625,369.86702405878674,360.3350068524344,365.91356131584365,239400
2021-02-26,354.2051696777344,363.4330950332417,354.2051696777344,362.4162129143812,368900
2021-03-01,368.5650634765625,371.5206406176654,357.4459472362392,357.4459472362392,256900
2021-03-02,366.51226806640625,368.3084158749244,363.6517030723038,367.0824843080829,205200
2021-03-03,368.5174560546875,373.89644414019205,367.0159148093402,367.576618204861,280700
2021-03-04,360.1354064941406,370.8363355691753,356.85668500432536,370.7793168478221,391000
2021-03-05,379.2945251464844,380.12135477269135,358.9570221497733,362.6824103540565,489200
2021-03-08,378.69580078125,386.03251018624627,377.3843120245489,380.0072605355461,357100
2021-03-09,369.163818359375,382.307158532976,368.6030858067826,381.3282982669913,404400
2021-03-10,376.25335693359375,379.161427815814,367.40559405298205,371.3685403129635,299300
2021-03-11,367.4721374511719,376.25336910488613,366.9399143486892,376.25336910488613,338900
2021-03-12,375.3980407714844,375.8447067623458,367.18699676987836,367.66217212175644,298200
2021-03-15,379.8932189941406,380.2923790906554,373.5258860442504,375.48360636939327,230700
2021-03-16,370.1236267089844,379.8457261559291,368.35598808357935,379.37055074018724,285000
2021-03-17,380.18780517578125,380.95758696154866,369.4108311726344,371.7772242570335,320000
2021-03-18,384.52142333984375,388.44637678497367,379.76018555257514,380.4919452278483,316100
2021-03-19,380.653564453125,385.3958062486487,374.13414208061437,385.3958062486487,680000
2021-03-22,379.8646545410156,381.72736271807537,374.8563169990245,381.63232185150696,312500
2021-03-23,374.7327575683594,382.74420648224896,372.6419745648106,377.8499064993959,215200
2021-03-24,375.7591857910156,380.83405516483356,375.1224380463909,376.70953651275835,236400
2021-03-25,377.8499450683594,379.80766526133453,370.7128017711405,376.0347716850858,222700
2021-03-26,379.5415344238281,380.22578805187675,375.3695101518652,379.066359098861,378100
2021-03-29,380.3018798828125,383.979732717404,377.34627391081943,379.3420163256283,229700
2021-03-30,378.8763732910156,382.2215977287848,377.92602247322156,379.4275640042779,189400
2021-03-31,381.02410888671875,382.94383591110903,375.4265582025213,378.4676631184702,426700
2021-04-01,386.17498779296875,387.0873162853466,376.54793118363216,382.24052222803954,259300
2021-04-05,387.41046142578125,387.80010869746593,383.1243994420536,387.44848357488274,258300
2021-04-06,388.1517639160156,394.6616725897053,386.03250022832,386.03250022832,260900
2021-04-07,378.94287109375,390.25206888677786,378.0020330766042,390.25206888677786,269900
2021-04-08,378.15411376953125,382.29762959344686,376.7285874810895,378.2586384428618,318400
2021-04-09,381.6799011230469,381.6799011230469,376.481480849047,380.1118280317656,304800
2021-04-12,385.8138732910156,386.77373677493273,381.6798419621231,381.6798419621231,165100
2021-04-13,380.2828369140625,384.33134028445755,377.5838443346,383.4380082825169,259000
2021-04-14,380.57745361328125,385.9849517065,379.0663993995253,379.2564811506809,161400
2021-04-15,384.369384765625,384.47390943032366,379.6081180746567,381.1381689100736,158100
2021-04-16,386.6786804199219,387.990168968524,381.5753020261531,386.74521192656704,227000
2021-04-19,388.6744689941406,388.740971506323,384.4739058227805,385.84241325402155,187300
2021-04-20,393.16009521484375,393.50220754484155,388.950019582471,390.4230805652548,308200
2021-04-21,402.9867858886719,406.53157602695865,394.3575838579331,394.3956060129214,388700
2021-04-22,398.31097412109375,405.3150540232561,397.87382092703456,404.83039489594745,332300
2021-04-23,402.530517578125,404.3837129400675,397.7312584134639,399.1472715962158,169400
2021-04-26,398.9477844238281,405.6572589866016,398.5866464667963,402.901247370567,186700
