Price,Close,High,Low,Open,Volume
Ticker,JKHY,JKHY,JKHY,JKHY,JKHY
Date,,,,,
2020-11-27,148.4298858642578,149.54922631508265,147.084791374978,149.20118704504046,270900
2020-11-30,151.3081817626953,152.43692325014015,147.57391803012626,148.9566310168824,1348800
2020-12-01,152.1664581298828,153.61890421324424,151.03469111906506,152.11929817293242,766000
2020-12-02,150.88375854492188,153.58114354964175,150.16697625508988,152.29847065807155,361000
2020-12-03,149.0258026123047,151.03469887370875,147.66769076431223,150.16701030782505,500200
2020-12-04,149.46905517578125,151.30817815222622,148.90317893213484,149.8463203960755,481100
2020-12-07,149.4784698486328,150.87431494338608,148.3089694555619,148.3089694555619,525400
2020-12-08,150.90264892578125,151.30819288699422,149.2049912471266,149.78974879772866,748700
2020-12-09,148.0731658935547,150.7328309403068,148.00713910289986,150.54419119054583,687000
2020-12-10,145.09288024902344,148.80885994234208,144.9702816439726,148.44103534479615,612300
2020-12-11,146.96031188964844,147.21494972683863,144.09315373980104,144.53643138539456,672500
2020-12-14,148.43161010742188,150.00665464549758,147.52618795827817,147.59221476937682,584500
2020-12-15,149.5822296142578,149.87460114140117,146.85655158366993,149.0917920638779,375700
2020-12-16,150.11984252929688,151.50626179365847,149.60111178562445,149.93121709283372,491400
2020-12-17,153.50567626953125,153.788621544152,149.75197784039995,151.2138497666117,603100
2020-12-18,152.43995666503906,155.93900337390863,151.59112072812567,154.44883816088839,1168800
2020-12-21,149.21441650390625,150.44992951213607,145.75307468643646,150.01607810903417,547700
2020-12-22,145.92288208007812,148.91263948281508,145.47017810259618,148.91263948281508,490600
2020-12-23,147.0640411376953,149.00692463637978,146.16805962779128,147.9317439462556,473800
2020-12-24,148.7239532470703,149.44073545109555,146.79993694444315,147.03572226840865,202800
2020-12-28,150.62911987304688,151.48736761285437,148.87487628702954,149.61052543040498,340500
2020-12-29,150.22357177734375,151.9400961557995,150.0160795032184,150.9403541117425,315200
2020-12-30,149.72369384765625,150.60080842195063,149.1200839410206,149.72369384765625,305200
2020-12-31,152.77947998046875,152.9398122909099,149.03520748554348,149.89345521894083,428700
2021-01-04,149.63882446289062,153.9584139890352,146.96030622469675,152.53426120295046,747700
2021-01-05,150.063232421875,150.6291230322767,146.6113313590558,149.63882165967172,427800
2021-01-06,152.3079071044922,152.91151701389697,147.91286480631607,148.45988853533845,594900
2021-01-07,155.56175231933594,156.54261309050415,153.21332493927102,153.5528564352901,567200
2021-01-08,157.4574737548828,157.9667782343301,155.29768600800492,156.089921430259,483900
2021-01-11,155.59945678710938,159.60780754763027,155.12788610940103,158.43832147727838,582500
2021-01-12,151.2704620361328,154.9487080670843,150.9120636670463,154.9487080670843,607900
2021-01-13,148.91258239746094,152.29845628142633,148.71451638819082,151.65712709177922,400600
2021-01-14,145.20603942871094,150.48762202120213,144.97025410606776,149.3558553507536,442900
2021-01-15,145.76246643066406,146.95081908921424,144.18742244985845,145.1682829057931,415300
2021-01-19,146.9508819580078,147.51677264200356,145.66820887998895,147.24325353463306,455800
2021-01-20,145.9605712890625,149.35588639738685,145.91342572768892,147.42244347156873,518100
2021-01-21,144.39495849609375,148.04491122012269,144.30063859674163,146.61133221890773,518100
2021-01-22,142.88592529296875,144.9608335410961,142.15970236920558,144.74391504378357,933900
2021-01-25,143.82904052734375,144.36663794725158,140.2733939877238,143.92336040875708,713500
2021-01-26,146.06431579589844,146.90371113396503,143.18774580680065,143.5555704068254,430400
2021-01-27,141.14111328125,148.34671343696363,140.377171003684,145.64932829434014,535700
2021-01-28,140.35830688476562,143.94223261084016,140.35830688476562,142.24458964215026,483800
2021-01-29,136.5574188232422,140.23567842906095,135.81234354840052,139.76410779174012,541400
2021-02-01,140.0376434326172,140.84874568402915,138.462598882205,139.0379157627553,433900
2021-02-02,142.67843627929688,143.93281612484625,139.6132265909744,140.27342272252767,485000
2021-02-03,140.94305419921875,143.45181379634067,140.68840198973152,143.27261462637543,374300
2021-02-04,144.66848754882812,144.75336683782595,141.35806575712613,142.37666039869563,493200
2021-02-05,144.21575927734375,145.76251064434496,143.4235239313374,144.8948222571195,556100
2021-02-08,149.21441650390625,149.75199965191007,144.31006940600963,144.76278766781942,1147600
2021-02-09,141.00906372070312,142.15969736520907,133.59597183633983,140.43374689845015,2052500
2021-02-10,140.3111572265625,144.1686022943924,139.68868041709266,140.97135336182,1091500
2021-02-11,140.1885223388672,144.310045217111,139.38684647691767,141.52778125871217,882000
2021-02-12,137.35911560058594,141.8673304292573,136.7743725263587,141.80131801339098,663900
2021-02-16,137.9250030517578,139.53776678125013,135.44453657293914,138.06646850480254,1158000
2021-02-17,140.41490173339844,141.226003944795,136.90641443677117,136.90641443677117,694100
2021-02-18,144.02713012695312,144.04598259337087,138.90586482016738,138.90586482016738,720100
2021-02-19,142.3106231689453,145.03630158210964,141.72588003258403,144.12145315775228,1057100
2021-02-22,144.16856384277344,144.98909207837684,140.83927657111352,141.34856648499328,727000
