Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2020-11-27,139.9174346923828,140.37294045573398,137.94355707750495,138.21875455445726,1754000
2020-11-30,138.21873474121094,140.61016499646757,137.50700075288285,138.8735323273152,5842200
2020-12-01,138.1333465576172,140.50579346738738,137.8486500323914,139.20569719451868,3954400
2020-12-02,137.75376892089844,139.58529109209823,137.01356660007215,137.94356178875458,3757400
2020-12-03,136.75733947753906,139.02539829716955,135.82734428060635,138.26621233874238,4059600
2020-12-04,140.87591552734375,141.13214388612568,136.65296229686254,136.71939777073038,3058600
2020-12-07,139.89846801757812,140.76204229380073,139.00642553271246,139.78459518300596,2637200
2020-12-08,141.68255615234375,142.4796949726939,139.41449710474586,139.48091809964043,2754400
2020-12-09,149.93865966796875,150.83070211195022,145.83906404803733,146.7026382846805,8364400
2020-12-10,152.78562927246094,153.73460833626504,150.1095013620031,151.71327829667547,6430600
2020-12-11,151.87454223632812,152.95637735702198,150.94454718035826,151.57087658714565,3441900
2020-12-14,149.85324096679688,154.0097581306195,149.77732092760496,152.4914007875818,4390100
2020-12-15,158.88754272460938,159.64672880014203,149.98612979180575,151.29571092982283,6974300
2020-12-16,163.2718048095703,164.35364005820855,158.24221429281567,161.03221427095306,6009900
2020-12-17,163.82223510742188,165.0274279064537,162.37029852254958,162.96814539379344,3521100
2020-12-18,162.65496826171875,164.06895195384627,160.37742482553435,163.71783441483709,7356400
2020-12-21,160.16864013671875,160.37741663039864,157.34068737723746,160.2635438084886,3655900
2020-12-22,158.21377563476562,159.79856878302272,157.4071377151091,159.15327003151347,2447900
2020-12-23,157.03704833984375,159.42847958814176,157.02756376228965,158.9065382172454,1697300
2020-12-24,158.15682983398438,159.37152168971838,157.38815922780714,157.38815922780714,627200
2020-12-28,158.00502014160156,159.04890294365484,156.78084347398627,158.6788016738854,1482000
2020-12-29,158.0808868408203,159.19119027530215,157.44507279613075,158.12833867585294,1712000
2020-12-30,158.48898315429688,159.79857885406778,158.1758183356442,158.89705166839732,1413300
2020-12-31,160.2255859375,160.51028248922663,157.80568696822587,158.54590379482235,1643600
2021-01-04,157.05599975585938,160.83293152632885,154.77845630679406,160.39640936405425,3164800
2021-01-05,157.83416748046875,158.15681681052058,154.87334365569143,156.76181675852644,2322600
2021-01-06,155.93617248535156,158.74514106812134,154.65504556695552,154.664530140181,3619700
2021-01-07,157.36915588378906,158.59333216246569,153.5257888540328,155.8033321781942,3025500
2021-01-08,157.91957092285156,158.3466085012371,156.2398743355827,157.73926262791218,3438100
2021-01-11,176.45309448242188,179.64166336149452,172.73309987021466,175.56105222454661,11396500
2021-01-12,169.6774139404297,174.8398609780857,168.38680218101567,173.46383012086088,7179300
2021-01-13,176.03558349609375,178.04741410236312,170.18987007831748,170.6548749457322,7303900
2021-01-14,177.16481018066406,179.31899557238614,175.16246483423157,175.81726235931222,4413200
2021-01-15,181.0366668701172,181.99513012419123,177.2692203514291,177.2692203514291,6624600
2021-01-19,188.35333251953125,189.34027870807174,184.16834647550638,185.99986884575424,7729100
2021-01-20,190.99147033691406,191.47545879801677,188.5431032662873,188.62852236430203,5335800
2021-01-21,192.02587890625,194.27495418005373,187.90729963183477,193.30699168438053,8698800
2021-01-22,195.62252807617188,196.0021138793978,190.32722358363,191.73170843189018,6128800
2021-01-25,201.51568603515625,201.6864952958053,197.47302643655982,197.61538196737033,5959100
2021-01-26,201.8667755126953,202.35074949743284,199.85494505033424,201.70545085111613,6601500
2021-01-27,196.97955322265625,201.20250634582962,194.63557422884355,200.3009793051944,7358000
2021-01-28,199.39944458007812,201.0316894689759,196.979559935971,197.3876139180609,5460400
2021-01-29,197.35914611816406,206.87740347753942,194.02823533928955,201.14557720204894,8401700
2021-02-01,192.77554321289062,199.18114979257302,192.7375904341061,198.77309587950643,5383800
2021-02-02,187.480224609375,195.39470327910348,187.28094719668712,193.95226611971614,5314600
2021-02-03,186.91085815429688,190.35564111829768,186.8444226922702,187.71748139147994,3679000
2021-02-04,191.3330841064453,191.57982784000166,185.65819543864038,186.76849879884574,2924300
2021-02-05,191.47544860839844,192.5667683911394,190.6023898861523,191.33309310612782,2732200
2021-02-08,195.2713623046875,195.89767727745198,191.60830373429337,192.05432490718522,2909300
2021-02-09,191.41854858398438,194.49323108583027,190.0994684350428,193.35445925254402,2661300
2021-02-10,193.9617919921875,195.06261096421215,191.35210008176455,194.0377120399411,3062700
2021-02-11,193.04696655273438,194.57166482647713,192.1321359558975,193.32331329823046,3544700
2021-02-12,197.53533935546875,198.42158297025358,191.68427609935492,192.16074709591382,2611300
2021-02-16,196.0773162841797,197.72591620835055,194.02849705544463,196.28696466134895,2741900
2021-02-17,196.74440002441406,196.96357259998007,194.6574548419332,195.3626225739473,3329900
2021-02-18,191.65567016601562,195.75332324183418,191.49367178799645,195.6389748669358,3919400
2021-02-19,191.46502685546875,193.33279881210558,190.90279479440795,191.66515099182575,3434900
2021-02-22,191.23635864257812,192.12260210185147,188.64437025360232,189.80694590372426,2263600
2021-02-23,192.95167541503906,194.69556086923342,189.33049321980846,190.88379319862008,3287700
2021-02-24,194.8956756591797,196.74438521667915,192.14167423177022,192.17978550871064,2848800
2021-02-25,194.22860717773438,195.87719244173567,192.25601064656476,193.99037172464074,2386700
2021-02-26,195.24826049804688,197.24944425502932,192.55143324261357,196.97308296802535,3887900
2021-03-01,196.75390625,198.44061740719914,195.1434321861999,196.09637404257973,2797400
2021-03-02,194.53353881835938,200.07012835974535,194.4954275442159,199.0600123764565,3445300
2021-03-03,192.49427795410156,194.69557157844434,190.31204724056752,193.79980380006023,3660300
2021-03-04,191.10293579101562,195.10530284992225,189.26376515800024,194.1999965375702,4308400
2021-03-05,197.18270874023438,197.8974150656927,191.4269468638009,191.5603581295903,3875900
2021-03-08,197.28758239746094,200.96593912334205,196.61100171581518,197.25899530053175,3300300
2021-03-09,196.41087341308594,202.17617533938125,196.36322340561426,198.53592997150798,4227300
2021-03-10,195.7819061279297,198.25002210470592,194.77179006273101,197.1541447601766,3400200
2021-03-11,195.55322265625,197.49721782338932,194.65745490269185,196.792035550415,4037300
2021-03-12,198.2881622314453,198.65028482462486,192.76109602638252,195.24827509162375,4541400
2021-03-15,180.25848388671875,184.0892996554695,179.3436533125352,183.92730128581235,12388500
2021-03-16,181.91656494140625,182.60268412952396,178.41927064291713,182.52644704854018,6194200
2021-03-17,177.94285583496094,180.8969818553474,177.78085743962555,180.80168183891908,5134200
2021-03-18,175.2745819091797,178.2858815490596,175.15070936032683,177.26624136321502,4240000
2021-03-19,175.61769104003906,177.05664289932554,175.22699583483325,176.0084007859872,6048600
2021-03-22,177.0947265625,177.1614394778261,174.57896042362805,175.3889668885704,2666600
2021-03-23,175.03631591796875,177.8760925144468,174.62655798655751,176.62774127500333,3284700
2021-03-24,171.69154357910156,175.18883867241587,171.35802263232713,175.05542738555815,3931500
2021-03-25,174.47412109375,174.9982420232039,171.7391826174253,172.48247610256402,2630500
2021-03-26,176.58966064453125,177.16143159914998,174.0357833395769,175.3889590887192,2868200
2021-03-29,177.57113647460938,178.83855056334556,174.87430996799952,175.9702015461437,3002600
2021-03-30,176.7706756591797,178.06667688176051,176.01785815537423,176.7992627453536,2523600
2021-03-31,178.028564453125,179.09585443862085,176.54196327809584,176.83738740119284,3621300
2021-04-01,176.52294921875,179.21977633329394,175.97024121435607,178.02859904987727,2340400
2021-04-05,176.18942260742188,177.15188866607045,174.48366304986865,176.85647901147232,2864800
2021-04-06,174.19776916503906,176.89459628469245,173.90235952471016,175.99882863934783,2488400
2021-04-07,173.74038696289062,174.55990309804076,172.6921449795164,174.29308050968012,3406600
2021-04-08,174.0167236328125,175.3127252184923,173.8833123463781,174.34072039404754,2393200
2021-04-09,175.80828857421875,176.4276951063999,173.82616731420006,173.94051571011238,2611200
2021-04-12,173.26388549804688,175.28411746617016,172.36811787724113,174.7981078408567,2876100
2021-04-13,173.9405059814453,174.9982722066986,172.65402843641735,172.65402843641735,3089100
2021-04-14,174.3883514404297,175.78917706607908,173.48305962798491,173.99764180808108,2002100
2021-04-15,177.1709442138672,178.88624242497184,174.77906544274302,175.1411734523318,2586600
2021-04-16,180.34425354003906,181.34484543744475,178.0857859030366,178.56225685030222,3731800
2021-04-19,180.7158966064453,181.89754976619687,179.21978542377138,180.33472567271338,2966400
2021-04-20,181.64024353027344,184.39424484844758,181.22094679686475,181.4496580716527,2460900
2021-04-21,181.96421813964844,183.92727575216412,180.868340980269,182.54551316924415,2219800
2021-04-22,178.247802734375,182.26921910889692,177.96191722826975,181.0589787061379,2982600
2021-04-23,179.8391876220703,180.22989727149212,178.2287135643345,178.2287135643345,2482800
2021-04-26,178.40975952148438,179.77245927439628,177.3043435773994,179.69623672856883,2797500
2021-04-27,173.63555908203125,177.12331556755862,172.28236871737778,175.3413187743561,6838700
2021-04-28,172.05369567871094,173.43545878838202,170.1763986153795,172.9113377355434,4682800
2021-04-29,173.6260223388672,174.03579494317083,171.529552933385,172.53966908525203,2432500
