Price,Close,High,Low,Open,Volume
Ticker,MPWR,MPWR,MPWR,MPWR,MPWR
Date,,,,,
2020-11-27,316.5498962402344,317.8811290147472,298.9251856631948,302.1472111614711,468000
2020-11-30,308.6589050292969,319.1835639683664,298.0860238816556,319.1835639683664,2944700
2020-12-01,308.5045166015625,316.20267021564604,306.67163129526193,310.8101149190465,391800
2020-12-02,309.4980163574219,315.3922216080444,302.8706749300464,307.80982774883154,377500
2020-12-03,312.69122314453125,315.8167752626857,303.8933214910209,307.95464332912553,242900
2020-12-04,310.02862548828125,321.80735101733785,309.12182462812484,311.97726699645,664500
2020-12-07,311.05120849609375,313.1349194015891,308.2632710746777,310.2408813839029,487400
2020-12-08,312.0641174316406,313.84878013949896,306.72944173670174,310.5109977896721,371700
2020-12-09,297.7096862792969,311.26344909318084,295.0471912367681,310.09619529845486,467200
2020-12-10,296.4170227050781,302.3883904266982,295.05682124554954,296.5328089600902,615700
2020-12-11,295.7417297363281,302.6681198028686,292.8766311378184,295.5391258938384,656800
2020-12-14,308.1764831542969,309.5752801067989,299.53296368526566,299.9767079809482,685100
2020-12-15,319.84912109375,320.833083549868,308.70708504770454,311.0705320733937,918700
2020-12-16,320.302490234375,322.2415051899274,313.58833005828404,321.81704391170024,686600
2020-12-17,329.4090270996094,333.4413793287665,322.3958194987734,322.6273330997816,431500
2020-12-18,335.93035888671875,338.7665190225785,328.4444364122391,332.88196807947895,912200
2020-12-21,334.3289794921875,337.2615839590527,330.97188425286333,331.30952796389266,514700
2020-12-22,341.554443359375,343.01111891866327,334.86922106037946,335.1972085786905,570600
2020-12-23,341.390380859375,349.09815925455166,338.862896295555,343.39690090429224,431200
2020-12-24,344.4581298828125,345.9437151755526,338.9594447374079,344.2265867745845,124100
2020-12-28,347.7282409667969,352.1368317833286,343.3100233776641,349.9663036783453,272700
2020-12-29,339.75042724609375,351.6449108396841,336.0942842168271,348.78946816801175,305700
2020-12-30,348.4835510253906,350.32871177823023,343.1316207960021,343.1316207960021,225600
2020-12-31,353.7967834472656,354.5889226712181,346.7735754943514,351.0435328616206,277200
2021-01-04,352.4346618652344,368.81887526829934,348.96654301198987,359.2742885948871,514000
2021-01-05,357.9798278808594,358.8009770622037,349.26605916357914,349.26605916357914,355800
2021-01-06,346.4258117675781,365.1575208539254,344.7835136671548,350.8696512026678,632700
2021-01-07,368.30694580078125,369.24401645526046,351.83578795168245,353.0047014133608,348100
2021-01-08,374.25775146484375,379.4067893601423,369.5530886916206,373.8326867458042,413100
2021-01-11,379.1363830566406,382.64315305030254,369.5145229491866,371.37899438157024,523500
2021-01-12,378.22821044921875,383.8989535873192,372.982561516486,383.8989535873192,330900
2021-01-13,375.04022216796875,382.7396478005811,374.64413782392757,377.95768481046775,216200
2021-01-14,373.0888671875,380.3245789520309,372.04551571195174,376.69221815521416,278000
2021-01-15,366.3554992675781,373.93897536838733,362.5878771122178,373.6684822913315,477000
2021-01-19,378.0350341796875,381.83160702980496,370.25830697377864,373.16612953161297,416200
2021-01-20,382.9618835449219,387.5506249939456,380.88485067224366,382.8749130263504,282100
2021-01-21,389.4924011230469,390.5840433748521,381.6094221130154,387.38641720235296,208000
2021-01-22,383.435302734375,392.5354865684495,380.2183364216744,385.2611237786744,164400
2021-01-25,378.0350341796875,392.94119205407503,370.4708393448086,391.55007644033947,195600
2021-01-26,370.23895263671875,378.4214037281339,368.0556684917122,377.9673586930625,266100
2021-01-27,339.8084411621094,364.4813920957749,339.08390290803237,362.28843744525153,524000
2021-01-28,355.4873962402344,359.612422684948,342.7355134484509,348.9761935765495,373600
2021-01-29,343.2282409667969,363.88241443438943,342.9287675389459,363.88241443438943,435000
2021-02-01,355.43902587890625,356.18290378378913,346.56101761477265,351.140117966085,283100
2021-02-02,361.8536376953125,365.41836733308,355.50667717133337,361.76669666530955,289900
2021-02-03,353.5939025878906,366.61627796260103,351.57485995718463,362.79072505608076,356100
2021-02-04,355.1202697753906,360.11473575826614,348.4255449992656,356.6755973675787,510200
2021-02-05,347.3049621582031,379.16530139088474,344.8801650093409,374.92435334763775,775500
2021-02-08,356.1057434082031,357.8156726832617,346.71572575729755,351.6425921479865,549900
2021-02-09,366.287841796875,369.8429018296348,352.6182282413243,354.6082906227894,1092200
2021-02-10,361.0517578125,370.68328390065085,357.98939378442327,367.0702639306019,657100
2021-02-11,371.6108093261719,372.89564403971895,358.4241910747736,366.93509706855644,10003300
2021-02-12,372.818359375,375.6488813079344,364.50064617320254,371.4368842447493,421900
2021-02-16,374.7890930175781,385.3480515945596,373.2337652441637,374.57656064365773,492500
2021-02-17,367.36981201171875,371.89092286434555,359.2260105115003,371.89092286434555,385400
2021-02-18,363.1192626953125,364.9161034442478,354.97545965925866,362.9840014011582,317000
2021-02-19,380.382568359375,381.10710658482145,365.3218373175462,367.03173691624687,470600
2021-02-22,360.00860595703125,375.76489701732925,358.0668338146717,371.0988831827748,506400
2021-02-23,359.0424499511719,363.2351069564493,339.71176368144745,346.9088540560428,531200
2021-02-24,374.6925354003906,375.23355109595417,351.6329022125354,357.73835174972885,438900
2021-02-25,350.2804260253906,373.12752611427067,348.4352650909167,368.75131629510093,377600
2021-02-26,361.80535888671875,364.4330184154412,351.77777568524783,355.90280226020457,448300
2021-03-01,375.8420715332031,378.46973102539647,366.1622526261212,368.0170832306533,444900
2021-03-02,357.9991760253906,377.18496472047724,356.75299142931595,377.18496472047724,354700
2021-03-03,342.7644958496094,360.70406700658685,342.37808141029035,357.71897345166434,367500
2021-03-04,316.835693359375,340.1851550003143,314.89392174800633,338.64910822976395,808800
2021-03-05,321.6080017089844,326.97924223842506,298.6256430396501,323.0087577948031,659100
2021-03-08,291.7956848144531,322.3229014797831,291.27403851535934,318.8451120781442,723000
2021-03-09,312.86529541015625,322.6803781338324,302.4995859648956,304.14185514762664,1054600
2021-03-10,312.43048095703125,323.0087191282933,311.7832139736221,319.4150385903911,572200
2021-03-11,326.1387634277344,333.02671050615106,324.75731782773926,328.1095153595896,571100
2021-03-12,319.76287841796875,321.9751434449354,314.00522275929114,319.35712402936895,426800
2021-03-15,330.04168701171875,330.6599443385922,319.2701944755593,321.20229652953765,340700
2021-03-16,331.0173645019531,339.9630060676306,328.81476943283275,335.64475698035744,262400
2021-03-17,340.2431640625,344.6290142477909,319.5696496806342,324.0811206908416,694000
2021-03-18,324.36126708984375,338.5621979580459,324.1970254611855,333.4807901544372,506700
2021-03-19,331.529296875,337.91490780861614,325.4045385180152,330.88205936738626,1149900
2021-03-22,336.4175720214844,343.83686569318405,332.0993231133394,335.8476055010938,410200
2021-03-23,325.2693176269531,338.0211705558347,322.1779432603286,336.51413365952624,446900
2021-03-24,319.753173828125,327.44296011953566,319.63725243866725,327.23042774501863,255000
2021-03-25,320.3231201171875,321.59831428388713,307.1655125757338,315.5701665598985,271300
2021-03-26,339.05487060546875,339.2674029733609,306.56657555362756,306.56657555362756,386900
2021-03-29,328.9789733886719,338.92928561343865,324.59309415919165,338.44626017570175,536800
2021-03-30,331.54351806640625,333.711282013625,323.1530902479192,327.10152165657746,360500
2021-03-31,341.821044921875,345.59528693409385,334.3112794019016,334.3112794019016,428000
2021-04-01,355.66973876953125,356.17299088197035,346.0986455571653,347.2212462640857,507600
2021-04-05,365.88922119140625,366.73119382478205,355.9890949761859,361.8149761918588,378000
2021-04-06,362.4634094238281,370.7861185129217,360.45046002231135,364.456984800177,486500
2021-04-07,361.08917236328125,366.4698942303683,358.6407504688462,359.47303612083795,314900
2021-04-08,366.1698913574219,370.8344831089547,362.12467772072324,366.98280298296123,352800
2021-04-09,364.7181396484375,365.792363991098,356.4148075143093,362.453594520948,293500
2021-04-12,361.8634033203125,365.3279574451519,355.73749017057605,363.30535057577595,283100
2021-04-13,364.37945556640625,367.0020954255974,359.32776838284286,362.879445674193,192700
2021-04-14,357.9922790527344,370.65051335478114,357.19871211885356,362.90846607844105,251900
2021-04-15,369.2666931152344,371.2699552811967,362.250461562185,362.56015059465267,237000
2021-04-16,366.4117431640625,374.05700905579215,363.2762234215184,369.79888889754994,322000
2021-04-19,357.6826477050781,366.9827693181476,351.06319976127986,364.8730681834762,238900
2021-04-20,352.5341796875,359.4245981744547,350.2696340297248,358.6407181211314,266600
2021-04-21,365.39556884765625,365.68588377769,350.44372974608336,351.1502021205836,234900
2021-04-22,360.179443359375,367.6505213246777,357.7503957313564,364.6891901434622,237200
2021-04-23,368.5118408203125,374.64741073770045,365.0859760756106,366.9053622059446,416200
2021-04-26,376.9700927734375,378.4894771816229,367.1086541737498,368.0280344292956,277900
2021-04-27,372.5859680175781,383.12484243189937,370.9891769185009,381.1989883845188,195100
2021-04-28,365.3471984863281,369.8666315557503,363.32459218966557,369.8666315557503,257600
2021-04-29,359.1439208984375,372.43122162934395,356.2890583715639,369.27632756664553,290600
2021-04-30,349.7275695800781,360.2373826061442,347.25011728000345,353.5405295096664,327700
2021-05-03,338.985595703125,353.6084053078253,338.0759026328014,350.56963706577164,541400
2021-05-04,323.34661865234375,334.3209677633595,319.63043928672744,332.50158182180843,494900
2021-05-05,326.9272766113281,338.0274369941151,325.7659578195475,333.87575627709765,510000
2021-05-06,322.63055419921875,324.5466924995976,315.7885110418703,322.30152064797767,355800
2021-05-07,331.7370910644531,333.27581957691456,325.31117697947667,328.8338230333403,295500
2021-05-10,311.4819030761719,329.86926536969514,309.3141392880978,326.288586222149,486300
2021-05-11,310.07867431640625,314.7432648853862,300.0140187705034,303.9721368938985,611400
2021-05-12,296.2301330566406,306.53672909094803,295.66881800837683,304.32055946521587,429900
2021-05-13,296.4526672363281,310.02062455990534,294.139745872756,302.52051594569514,518000
2021-05-14,306.3140869140625,309.18832311913843,299.3462621524247,300.59464599957545,462200
2021-05-17,302.2301025390625,304.65917887108526,295.9300328222213,301.85269316197224,382100
2021-05-18,299.4237365722656,308.491606659525,299.2592345712428,305.11414726330116,326800
2021-05-19,309.48834228515625,310.82385022708763,291.80745163712464,293.2300540708905,428200
2021-05-20,321.2659606933594,323.4046931852382,309.69160719584096,313.16584769388913,398000
2021-05-21,313.978759765625,323.49178827397026,311.9561532647386,321.93371528629757,425500
2021-05-24,319.2626647949219,321.29495808712596,315.8658616762836,315.8658616762836,261300
2021-05-25,320.66595458984375,323.9950375726288,318.7304426014138,321.29499007936965,255100
2021-05-26,328.0982666015625,328.6982705067717,320.9949421642125,322.92076686646107,420200
2021-05-27,331.52423095703125,335.0371905022775,323.4337741962257,325.27250497208985,478900
2021-05-28,332.05645751953125,335.68554277663776,330.9435439473995,334.0887511702252,251700
2021-06-01,331.3983154296875,339.59520865541015,328.3595478864745,334.31126998710874,278800
2021-06-02,332.5500183105469,334.5145619232497,328.4660865721239,331.51451224237707,365100
2021-06-03,325.10791015625,331.0886343599852,322.68852047510484,328.436992720191,335700
2021-06-04,335.84039306640625,336.3049266193893,328.0693128835748,328.0693128835748,267700
2021-06-07,331.5919494628906,333.73068207892084,328.8048072940628,331.98870345661794,225700
2021-06-08,327.740234375,336.4016324286064,325.1950314948856,336.0822859590928,222100
2021-06-09,329.5306091308594,333.8564796862885,326.24990207372747,329.9564241388689,184800
2021-06-10,332.327392578125,334.38871750959,328.2918667416123,330.2950991442763,233500
2021-06-11,335.96612548828125,336.4500034148054,329.9369958917069,333.74995631540247,220700
2021-06-14,340.4469299316406,341.6566250681647,334.3887672371849,336.95331501990137,254500
2021-06-15,334.2726135253906,340.71787222264527,333.48873350457575,338.85011017470714,197400
2021-06-16,332.5982971191406,337.6403259627966,329.4918093558766,334.2628382307566,280400
2021-06-17,344.5985107421875,347.3566209868314,331.84349496219954,331.84349496219954,367900
2021-06-18,342.5469055175781,345.6147050325902,338.7823500347377,341.3952735148019,625900
2021-06-21,342.6921081542969,343.85342732079863,338.1630165653718,341.78244456527744,236800
2021-06-22,342.3146667480469,343.785645292885,338.27911107711066,342.3146667480469,213500
2021-06-23,338.7919921875,343.582395984623,338.50167721403653,342.32432505485735,490700
2021-06-24,347.76318359375,348.595439719042,340.9501719267793,342.1695541447018,198400
2021-06-25,353.8890380859375,355.7664872535826,347.2889344979714,350.48254729871564,518800
2021-06-28,362.4053039550781,365.42469817001785,355.79551345399426,355.79551345399426,298700
2021-06-29,365.8172912597656,367.07741098590105,358.36330104145145,362.3762553842185,239400
2021-06-30,361.9884033203125,366.9803380016916,360.33086388185797,365.55545280322434,234100
2021-07-01,358.8188171386719,364.67345208512216,356.8317454179535,364.67345208512216,376600
2021-07-02,364.7607116699219,365.0999757772681,360.3212889270324,362.5603906221641,223400
2021-07-06,371.69122314453125,372.36004872512393,363.5684089415934,364.87698201583834,541300
2021-07-07,365.3519592285156,375.38428365698365,360.0982914626163,375.38428365698365,440300
2021-07-08,361.55230712890625,361.9788055145169,352.2954167278319,359.04180002054227,354000
2021-07-09,370.8576354980469,371.5942902352713,358.84788258899306,362.4827913995836,272100
2021-07-12,375.0741882324219,375.442500862202,369.45217740173706,373.8140685861282,340300
2021-07-13,375.558837890625,376.81892793945036,370.21793506665404,372.86415966634814,328700
2021-07-14,371.119384765625,384.15660449822843,369.6266404111078,378.34074967285306,572600
2021-07-15,367.8624572753906,371.00300887744595,362.09505706202384,370.9254771753418,529500
2021-07-16,367.8140563964844,372.33104076474507,367.0192453434271,369.4134106413632,852200
2021-07-19,369.0547180175781,369.6363093634346,358.7315825572434,362.7929898408709,383600
2021-07-20,380.3180847167969,382.2470298416453,368.2405022346359,371.02241447560334,368500
2021-07-21,392.8609924316406,393.1033197226991,380.35691012921603,380.5120031452097,319300
2021-07-22,392.5701904296875,394.77051146517016,387.39408332040466,391.44578830985193,311800
2021-07-23,401.5460205078125,403.0872185164332,392.075851120049,394.63484149124645,292400
2021-07-26,400.2664794921875,404.5023552867659,396.85452230222376,398.6477203710758,335100
2021-07-27,394.7607727050781,398.76402340419065,383.35198742418584,398.76402340419065,515600
2021-07-28,417.7721862792969,418.7511978522635,392.6961667453244,397.4166969246212,581500
2021-07-29,426.55413818359375,427.445915525233,414.84489787502406,416.0468316311353,798500
2021-07-30,435.4718322753906,437.13904517396634,420.6801653815492,422.25044145024907,462200
2021-08-02,440.51214599609375,443.5557903591842,436.6349101180956,437.9725612289589,497900
2021-08-03,442.5283203125,445.8821210271216,433.17449477671033,442.7997256377128,286900
2021-08-04,452.1148376464844,455.90483978753565,443.79817856142995,443.79817856142995,231300
2021-08-05,449.25543212890625,456.29259670346306,445.51388328923827,453.0260294799436,362400
2021-08-06,447.61724853515625,448.57685505887446,441.5493642257457,444.31190102116875,218500
2021-08-09,445.6591796875,450.1083043619949,440.4346196603426,447.61720276156115,203500
2021-08-10,444.3118591308594,448.73190575442214,439.087269481051,448.73190575442214,255600
2021-08-11,445.13580322265625,446.6285178531191,436.99358358284496,445.3490523957173,187500
2021-08-12,448.1503601074219,449.1099666384427,436.58650978930456,442.0824757518349,270100
2021-08-13,450.5832824707031,453.7238340804897,446.2795482597558,446.65756337750753,168600
2021-08-16,444.45733642578125,450.7384705514886,440.2117574910783,447.91777729239186,263900
2021-08-17,438.7771911621094,441.3749326155579,429.70444202815344,439.91126631574883,332400
