Price,Close,High,Low,Open,Volume
Ticker,O,O,O,O,O
Date,,,,,
2020-11-27,46.5059814453125,47.53207031254272,46.40035216042851,47.53207031254272,1373695
2020-11-30,45.41843032836914,46.82710647024601,45.38813509571343,46.80438430037403,5697156
2020-12-01,45.72136306762695,46.22121494280434,45.57746595428555,45.83496495338901,2759155
2020-12-02,46.03188705444336,46.22879862514783,45.46387451361484,45.80468323072034,2067715
2020-12-03,46.266658782958984,46.721069331978704,45.95614535502358,46.069747246898395,1847074
2020-12-04,46.39542007446289,46.87254991511546,46.115198832040754,46.63019995374844,1946455
2020-12-07,46.0091667175293,46.46357733516645,45.90313787156605,46.38026767840066,2411784
2020-12-08,45.74408721923828,46.28938348575517,45.7365141569012,45.948574809942414,2753892
2020-12-09,45.96372604370117,46.418136668121186,45.585049032590696,45.78196060132479,4726766
2020-12-10,45.38814163208008,45.910715836142344,45.319981075689874,45.75167255021773,3565354
2020-12-11,45.78953552246094,45.895564374309075,45.350271006575035,45.44115373145088,3157198
2020-12-14,45.910701751708984,46.880113260652806,45.75923157612655,46.122759401220335,3447912
2020-12-15,46.76650619506836,46.76650619506836,45.7137880770141,46.10003805012988,2485469
2020-12-16,46.46358108520508,47.03159663923628,46.410566657944706,46.7892436939655,2362042
2020-12-17,46.22123336791992,46.78167592166455,46.137926676528764,46.70593931328553,2913439
2020-12-18,45.0776252746582,46.60747650772596,44.88828676368352,46.10005144500893,5752678
2020-12-21,45.2669563293457,45.27452939149391,44.46416105578709,44.89585243191947,2970612
2020-12-22,46.14548873901367,46.14548873901367,45.077621300904525,45.35784251096624,2357088
2020-12-23,45.78953552246094,46.52416740343282,45.74409416002301,46.175785612422764,2138407
2020-12-24,46.266658782958984,46.28938095024621,45.6607780509327,45.940999231179056,797426
2020-12-28,46.78167724609375,46.86498393984339,46.1682202417249,46.23638378750008,1960800
2020-12-29,46.17580032348633,47.1452123889772,46.07734450375748,46.781684355179124,1624678
2020-12-30,46.41056442260742,46.948284714510365,46.13034319092703,46.21365285040412,1450889
2020-12-31,47.265865325927734,47.288671975473456,45.95820327434341,46.33073582757922,2362970
2021-01-04,45.5096321105957,47.33427427584992,45.479220260525665,47.27345356870759,3965254
2021-01-05,45.73772430419922,46.18628198891833,45.57046357881343,45.61607986819152,2801777
2021-01-06,45.349979400634766,46.125453191285644,45.121897993679234,46.072231702164416,4274647
2021-01-07,44.77977752685547,45.44881432745766,44.52128726012196,45.441212112700484,4302924
2021-01-08,45.41841125488281,45.50964383560015,44.749377317953225,44.855814331123945,3300542
2021-01-11,45.17512130737305,45.4868330956202,45.05347987268995,45.29676573505439,2622106
