Price,Close,High,Low,Open,Volume
Ticker,PKG,PKG,PKG,PKG,PKG
Date,,,,,
2020-11-27,114.22862243652344,114.43509794295348,112.58535151575325,113.01552632467362,220500
2020-11-30,111.84545135498047,113.74682980428825,111.16578092686564,113.52313049972648,696800
2020-12-01,113.5145263671875,115.07175701587404,112.77462519882953,114.02212947174081,607000
2020-12-02,113.54893493652344,114.30604677480976,112.05193505541185,113.21339912235433,431600
2020-12-03,113.17040252685547,114.89971395964442,112.85207731412721,113.70382830913799,469000
2020-12-04,114.57275390625,115.28684564492016,113.82425396007814,113.82425396007814,512000
2020-12-07,116.08697509765625,116.16441654543993,113.72101349647508,115.39870586144616,745700
2020-12-08,117.92814636230469,118.33249866655262,114.9771398975928,114.9771398975928,519800
2020-12-09,117.28287506103516,119.54558579983777,116.44833481848512,117.8765053147377,646500
2020-12-10,116.62899017333984,117.84208626521199,116.01814930635274,116.78385992850527,634000
2020-12-11,116.64619445800781,117.70442073680535,115.48471730545246,116.17299957630406,559100
2020-12-14,113.29084777832031,117.9539549346958,113.17039933949962,117.57539894757497,597200
2020-12-15,115.4503173828125,115.78585320884153,113.81564523126866,114.41790046640727,487100
2020-12-16,116.6720199584961,117.16241244676897,115.72563006478462,115.97513882216957,550800
2020-12-17,116.70643615722656,117.1624204659809,115.46754356779097,117.00756381526212,500500
2020-12-18,116.88843536376953,117.105120138415,114.68692387254272,116.77575504882938,1175200
2020-12-21,115.94371032714844,116.64576698633795,113.1094693461694,115.55368031930882,454800
2020-12-22,115.97836303710938,116.74976034821277,115.57099458036366,115.98703889282085,598700
2020-12-23,117.64251708984375,118.57859708591151,116.06505849999388,116.24706633997303,1024200
2020-12-24,117.96320343017578,118.2145519641314,116.70642108422814,118.11054749841044,158900
2020-12-28,118.55258178710938,119.61000462516012,118.15388917791061,119.13329543990936,300900
2020-12-29,117.59053039550781,119.21132880808878,117.4258477968276,118.89063946880208,305500
2020-12-30,119.150634765625,119.6966846748851,117.99787008240374,117.99787008240374,251500
2020-12-31,119.531982421875,119.85267162983263,118.04985286611007,119.22861847218297,397100
2021-01-04,117.65982055664062,120.88409073047794,116.87108488378851,119.9653494963371,610500
2021-01-05,118.87327575683594,119.84403265219875,117.23513920106254,118.36190280393205,999800
2021-01-06,125.26114654541016,126.18855056525459,119.63600466105822,119.63600466105822,872400
2021-01-07,125.6338119506836,126.54389052073894,124.81907519702236,125.40846457801892,927800
2021-01-08,125.48649597167969,127.03796649216245,124.05638163136868,126.06720962851949,740900
2021-01-11,126.39661407470703,127.4020349988235,123.13767854267472,124.12576097488731,713600
2021-01-12,127.61000061035156,128.3987364063649,124.41173104936173,124.55041248664996,565600
2021-01-13,124.50704193115234,126.78656954783598,123.25894898201072,126.32719897323695,863800
2021-01-14,123.94367980957031,125.28712793510127,123.59698949186651,124.70641437898409,985800
2021-01-15,123.53631591796875,124.55907487565676,121.54281345499449,122.61757463969593,586600
2021-01-19,121.06612396240234,125.07046802178274,120.91011725606582,124.76710401449664,663200
2021-01-20,121.7508544921875,122.2188878333663,120.22539828625953,121.97620191936389,576900
2021-01-21,121.82019805908203,122.73027687054014,121.32615036343108,121.32615036343108,404000
2021-01-22,121.69017028808594,122.305560898287,120.48540340931125,121.43015912570918,375600
2021-01-25,122.14087677001953,123.63166913357264,121.35214098660917,121.82018752363075,750100
2021-01-26,121.20478820800781,122.99026857368997,121.18746294891146,122.75625854739164,352400
2021-01-27,117.76383972167969,121.44748097290268,117.03578203670789,119.96536448745219,650500
2021-01-28,114.15821838378906,119.13329260210666,111.91335395133456,117.77251902432148,1174400
