Price,Close,High,Low,Open,Volume
Ticker,PSA,PSA,PSA,PSA,PSA
Date,,,,,
2020-11-27,177.84666442871094,180.5463290707754,177.2162041190894,180.5463290707754,377400
2020-11-30,181.4273681640625,182.34881110617295,177.66884148783598,177.87900314721094,1465900
2020-12-01,182.146728515625,182.62361291709962,179.60871830539764,181.76683420707948,614000
2020-12-02,181.47584533691406,184.74939652811625,180.51398583710255,181.3465169951817,551300
2020-12-03,182.7044219970703,183.17322797144473,180.81304130742225,181.41117561957495,652500
2020-12-04,181.45970153808594,183.7309768980199,180.31194009522872,182.58321545516267,752700
2020-12-07,181.6051788330078,183.100508636387,181.03130430313175,181.0555518278628,641300
2020-12-08,179.3419952392578,181.85575809477217,179.25308353696897,181.68601308733685,559300
2020-12-09,177.53143310546875,180.68373463282927,175.8340323855481,179.471309071009,714600
2020-12-10,175.05807495117188,178.6306872154697,174.75092321650206,177.08686247905945,929800
2020-12-11,177.8708953857422,178.57409820402887,175.0338242567029,175.0338242567029,1537900
2020-12-14,182.5040283203125,187.39820970512227,181.45993728727686,184.34749882783396,2271500
2020-12-15,183.66236877441406,183.67867375549744,179.08630737734072,182.92823388949802,1347800
2020-12-16,184.31494140625,185.97895818723214,183.0016684404869,183.66238116891438,699300
2020-12-17,189.6985321044922,190.2695176349066,185.22851509225373,185.81581805112313,932900
2020-12-18,186.73748779296875,190.0084403706792,185.74234901273405,189.82898605460073,1421900
2020-12-21,186.55809020996094,187.7734709296347,184.4372727600583,185.63634849916133,707800
2020-12-22,189.39669799804688,189.52721251181782,186.11759240720957,186.77015252951514,783100
2020-12-23,185.1632537841797,189.85351241527675,184.97564692397003,188.85836089260687,720800
2020-12-24,186.6722869873047,186.77831914703336,185.22034713978877,185.52215108498194,154600
2020-12-28,186.90882873535156,188.0997519506852,185.34269183263933,187.430874369589,569900
2020-12-29,185.81581115722656,188.63811629423017,184.69014512006467,187.68375213311273,677400
2020-12-30,186.73748779296875,188.336259214428,185.45685011536904,185.45685011536904,559200
2020-12-31,188.368896484375,188.49125849856813,184.771682283582,186.9659091380356,495700
2021-01-04,179.6165008544922,189.21725930935617,179.41257657730804,187.8713640585608,911800
2021-01-05,177.3080596923828,180.7666195854935,176.31290831857618,178.90683135004642,1094800
2021-01-06,174.41236877441406,177.74040215885614,173.10724836935984,176.47608154673873,1506100
2021-01-07,177.37330627441406,178.2461080196341,173.78424453167034,174.64888134127827,1224300
2021-01-08,181.5904998779297,182.41436198485718,178.22167903179545,178.22167903179545,805500
2021-01-11,180.47299194335938,181.66391524238313,177.71593163156578,181.03582496052914,738900
2021-01-12,181.28053283691406,181.79441356001462,178.66213959934814,179.5920338203757,690200
2021-01-13,183.36056518554688,184.04576028199205,181.28869980709126,181.28869980709126,785400
2021-01-14,180.45668029785156,183.34425523153905,180.1385589014166,183.34425523153905,773100
2021-01-15,183.03427124023438,183.84181584765003,179.53493616786645,180.50560525894895,1864200
