Price,Close,High,Low,Open,Volume
Ticker,SWK,SWK,SWK,SWK,SWK
Date,,,,,
2020-11-27,160.43295288085938,161.4756567503522,159.6380889215118,159.91159442538287,293800
2020-11-30,158.11666870117188,160.8790574645347,156.8384293469461,160.10696675514026,1109700
2020-12-01,156.06629943847656,161.82270845112436,156.04913808839214,160.97339834065264,1118400
2020-12-02,153.23526000976562,154.9767637566501,152.65190508127785,154.24757009604033,877900
2020-12-03,153.57839965820312,156.33220000912428,152.24010269249143,152.8234575379468,1406800
2020-12-04,155.14837646484375,156.00626074036896,153.02940125707448,154.788053549681,1163300
2020-12-07,153.08941650390625,154.41913948978953,151.425119239406,154.161771639252,1407100
2020-12-08,152.0342254638672,152.6433158611996,150.37850229802604,151.90554808140905,856200
2020-12-09,152.95216369628906,153.81863509022085,151.8369247417717,153.23526704467804,820900
2020-12-10,152.3945770263672,153.34682918857584,149.62361421176152,151.6996927899429,1201700
2020-12-11,150.3013458251953,152.1286438050893,148.9373127566748,150.73028802965663,879000
2020-12-14,146.18353271484375,151.87988601749043,146.09775210777312,151.7426344281214,1190000
2020-12-15,151.27073669433594,151.46804641349942,147.3073155088091,147.6761994659528,1141900
2020-12-16,153.9387664794922,158.9745433145686,153.58703076204645,155.31996077628605,3141100
2020-12-17,156.21214294433594,157.79923407346095,154.4878002811808,156.13493650201744,1752200
2020-12-18,155.72314453125,157.55901620603692,153.65564045587445,156.5638673867349,1501100
2020-12-21,155.5086669921875,156.03197685892977,152.06854309645075,153.0980145715509,766800
2020-12-22,153.57839965820312,155.25127086534278,153.10656083304292,155.01963851657845,601500
2020-12-23,152.6175994873047,154.6765294962541,152.0256703636347,153.58701285740366,647800
2020-12-24,154.3505401611328,154.56501123401515,152.3001972279886,153.25244931519723,243200
2020-12-28,152.09429931640625,155.6202042557366,151.5795765989336,155.3371139607781,486800
2020-12-29,151.21925354003906,152.8320669553517,149.57211742573244,152.8320669553517,722500
2020-12-30,152.9607696533203,153.46691823656064,151.2021042622855,151.2021042622855,509300
2020-12-31,153.183837890625,153.71572203501776,151.84554030778042,152.73773433291774,757300
2021-01-04,145.2826690673828,150.49001844264308,143.83284292880086,145.7030238740041,2230100
2021-01-05,145.9518585205078,147.41883332659654,144.75081265973427,145.72022609681338,1405200
2021-01-06,151.19349670410156,153.08083908367263,146.8268567382609,146.8268567382609,1303300
2021-01-07,152.20582580566406,152.92644545171225,149.69223117470722,152.07714840111086,1054500
2021-01-08,151.6138458251953,153.35534941479617,149.17745824342404,152.62615582004344,907100
2021-01-11,151.28793334960938,151.84555302573946,149.34910604619188,149.34910604619188,698900
2021-01-12,151.39083862304688,154.00738827236086,150.61874801386742,151.09057389154646,1191400
2021-01-13,148.78285217285156,152.16291805278445,148.01076162039774,150.91041443744612,2085500
2021-01-14,148.55982971191406,150.89327616589873,147.0070611496523,149.94959815499456,1505200
2021-01-15,148.0965576171875,149.1603256760167,144.78512399253245,148.2681318437463,1255100
2021-01-19,151.468017578125,152.5232113765848,148.54262959797143,149.29757180969438,1531700
2021-01-20,151.03912353515625,152.59189218585323,149.62361952845868,152.06858218459786,1115100
2021-01-21,151.85409545898438,152.98650902002052,150.2155463921284,150.73885633952682,1380900
2021-01-22,150.3098907470703,152.12860099327884,149.52921301298136,151.44229104122562,1252600
2021-01-25,150.12120056152344,152.1543824641952,148.8429480530635,149.90672945481873,1113800
