Price,Close,High,Low,Open,Volume
Ticker,SYY,SYY,SYY,SYY,SYY
Date,,,,,
2020-11-27,62.6473388671875,63.5706951132228,62.30437950932756,62.74407168188339,865300
2020-11-30,62.69131851196289,62.717698972107634,61.451383211792624,62.19006964170003,3650300
2020-12-01,64.57318878173828,65.1359941914647,62.80562447756983,62.80562447756983,3007500
2020-12-02,63.97521209716797,64.42369999868485,63.3244695502799,64.02797301175694,3102000
2020-12-03,65.67240905761719,66.61334983644511,63.57947718102697,64.00157781889573,3494400
2020-12-04,68.69749450683594,68.71507923838882,65.85708065547166,66.19124422832734,4305500
2020-12-07,66.7188949584961,68.56560080449265,66.23523086849136,67.63345551376027,2723800
2020-12-08,67.46636199951172,67.75656041765811,66.18246177551893,66.60456246630503,1746600
2020-12-09,67.1937484741211,67.71258192038272,66.50782317740759,67.36082690623526,2630200
2020-12-10,67.92362976074219,68.15227151795027,66.35832704966785,66.59576452692933,2750700
2020-12-11,66.72767639160156,68.15228133282751,66.28798425397041,67.43118649547922,4403300
2020-12-14,64.57318878173828,67.37842681805915,64.46766025147593,67.37842681805915,3452600
2020-12-15,65.34703826904297,65.68999757300695,64.01917294720053,64.96890279170205,2728700
2020-12-16,64.96890258789062,65.38221423731193,63.83449615942655,65.34703806404532,3116400
2020-12-17,65.46136474609375,66.76284965965691,65.26789914049589,65.57568228159735,2844500
2020-12-18,63.5618896484375,65.4173908689455,63.236521784487444,65.36462996326043,7618400
2020-12-21,63.728965759277344,64.19503825119584,61.83828863333316,62.01416276679247,4483600
2020-12-22,63.24531936645508,63.728983431340545,62.489048306363244,63.54431352724882,2173700
2020-12-23,64.08071899414062,64.5731719217801,63.76414019518155,63.89604914627582,1752900
2020-12-24,63.684993743896484,64.0191639896359,62.87596199693349,63.966396382369176,730200
2020-12-28,64.92494201660156,65.40859933775461,63.95762066512596,64.06314248325486,1975900
2020-12-29,64.04553985595703,66.16485185767831,63.94001135814273,65.24150266118185,1409000
2020-12-30,64.45008087158203,64.65233551825744,63.92245159477931,63.94003633003229,1108100
2020-12-31,65.30307006835938,65.48773993818313,63.89605674410549,64.57317960012591,1163700
2021-01-04,63.588260650634766,65.4085854270885,62.21642363335604,65.19753512654594,2497300
2021-01-05,63.992794036865234,64.87217835717442,63.33325579663334,63.33325579663334,1662600
2021-01-06,66.83319854736328,66.88595945191398,64.20384169360669,64.406096300497,3641900
2021-01-07,66.86856842041016,67.57626866375821,65.89548564765386,67.178191495081,4195100
2021-01-08,68.60245513916016,68.84130016643017,66.53243565658197,66.81551449403955,3682900
2021-01-11,68.60245513916016,69.7436118517225,67.10744144336101,67.63821341995249,3023800
2021-01-12,69.32783508300781,70.73438095556969,68.13358987150478,68.3282078096499,3281400
2021-01-13,67.35514831542969,69.31016298977781,67.34630020176178,69.31016298977781,2262000
2021-01-14,66.79783630371094,68.55823291062656,66.31129130598232,67.76207143667656,2659600
2021-01-15,66.85089111328125,67.26666457570309,66.09896368613563,66.56781231426886,2049700
2021-01-19,66.23167419433594,67.41706483968123,66.18744037957363,67.26668066810147,1772400
2021-01-20,68.13359832763672,68.28398922977004,65.59473695345442,65.94858718044127,2274600
2021-01-21,67.96553039550781,68.32822201544026,67.51437114956678,68.02745368423444,1988300
2021-01-22,66.51472473144531,67.77088624573915,66.47933904453328,67.54973076438615,1539100
2021-01-25,64.5774154663086,65.57703604315462,63.58663625138483,64.5774154663086,4094700
2021-01-26,65.61241912841797,66.91281468717698,65.16126671960315,65.47972446441851,2061100
2021-01-27,63.710487365722656,65.63012265373659,63.33009955279437,64.79857563265342,2671500
2021-01-28,65.59475708007812,66.58552992068485,63.86973922514957,64.3828218742545,1960100
2021-01-29,63.25934600830078,65.28513199553507,63.14434078359197,65.28513199553507,2685100
2021-02-01,63.31239700317383,64.2500941743104,62.887775468639525,64.01124920116196,2128900
2021-02-02,64.60395812988281,65.28512100280346,61.88816824821295,61.92355394607795,5352600
2021-02-03,67.58513641357422,67.91244230320831,64.36511219392305,64.41818736540282,4967700
2021-02-04,67.6912841796875,68.38129512831567,67.06320326093707,67.57628572948184,2419900
2021-02-05,68.18667602539062,69.31899128231176,67.65590409235026,68.69975848528654,1908200
2021-02-08,68.0451431274414,69.04477060814938,67.48783352916807,68.46976478502987,1412500
2021-02-09,67.41706085205078,68.28399362653322,66.62974758960459,68.06283806406783,1864900
2021-02-10,67.35514831542969,68.6555443101502,67.01899423651459,67.88592040023944,1461500
2021-02-11,67.42588806152344,67.95665989706869,66.81549673862487,67.4612737504438,1218900
2021-02-12,67.44359588623047,67.81514234644578,66.69166835214304,67.0455185885171,1207700
2021-02-16,67.57628631591797,67.93898464138795,66.78897313282577,67.42590216839058,2091600
2021-02-17,66.24934387207031,67.3020462567925,65.87780423597914,67.3020462567925,2094600
2021-02-18,66.28474426269531,66.48821034613067,65.35588821735497,65.4885829022796,1452700
2021-02-19,67.85938262939453,68.35476900735934,66.3820648600115,66.55014527359235,2005700
2021-02-22,69.58438873291016,70.1593877903889,67.1870565200035,67.1870565200035,2122300
2021-02-23,70.00016021728516,70.85824492873444,69.2836183135165,69.65515805997931,2304500
2021-02-24,71.63670349121094,72.1320897272915,69.58438040713696,69.77015024566717,3194800
2021-02-25,71.12361145019531,72.36208362266463,70.66360422227196,71.91092450465952,3596500
2021-02-26,70.44245147705078,72.1232347234335,69.90283148612058,70.80514975746938,3146000
2021-03-01,71.57477569580078,72.4328534436923,70.92899860811326,71.16784359997361,2284400
2021-03-02,70.79629516601562,71.91976884721859,70.61937347170067,71.52168491131494,2210800
2021-03-03,72.09671020507812,72.98133241618338,70.97324296659247,71.10593089895278,2525500
2021-03-04,70.25668334960938,72.27362059422886,69.177443341737,71.92861852602451,2746800
2021-03-05,72.35325622558594,72.53902609226782,69.31900157151725,71.43324825549544,2231400
2021-03-08,72.27362823486328,73.59172012107308,72.21170495323226,72.68056037030314,2683100
2021-03-09,70.20362091064453,72.27363369509683,69.93823154124355,71.96401726355037,3654700
