Price,Close,High,Low,Open,Volume
Ticker,TDY,TDY,TDY,TDY,TDY
Date,,,,,
2020-11-27,386.239990234375,388.17999267578125,382.8699951171875,387.69000244140625,57000
2020-11-30,377.94000244140625,384.4200134277344,374.5,383.5799865722656,333200
2020-12-01,381.6499938964844,385.3599853515625,380.1499938964844,383.7300109863281,132500
2020-12-02,385.82000732421875,389.1300048828125,376.489990234375,381.75,137200
2020-12-03,383.6300048828125,390.0400085449219,382.75,384.1300048828125,116800
2020-12-04,392.7900085449219,393.7300109863281,384.2300109863281,384.2300109863281,125700
2020-12-07,390.739990234375,394.82000732421875,389.2200012207031,389.2799987792969,119100
2020-12-08,395.3599853515625,398.6099853515625,390.3699951171875,390.3699951171875,127300
2020-12-09,394.70001220703125,397.0799865722656,392.239990234375,394.2799987792969,140700
2020-12-10,391.7900085449219,397.2300109863281,390.7200012207031,393.0,113300
2020-12-11,387.510009765625,394.6099853515625,386.1499938964844,389.9599914550781,173800
2020-12-14,380.8999938964844,390.8399963378906,380.5199890136719,390.19000244140625,182500
2020-12-15,387.3800048828125,387.45001220703125,381.239990234375,383.239990234375,218000
2020-12-16,379.80999755859375,388.989990234375,378.8299865722656,388.989990234375,179000
2020-12-17,380.92999267578125,384.32000732421875,377.57000732421875,381.9200134277344,209700
2020-12-18,380.4700012207031,383.9700012207031,376.4800109863281,381.3900146484375,566200
2020-12-21,378.3500061035156,380.1400146484375,370.19000244140625,376.3500061035156,250900
2020-12-22,378.8299865722656,382.2900085449219,377.260009765625,379.1700134277344,136100
2020-12-23,385.79998779296875,388.0299987792969,379.9599914550781,381.42999267578125,139900
2020-12-24,383.4800109863281,385.260009765625,380.1000061035156,384.2699890136719,23100
2020-12-28,386.79998779296875,389.9800109863281,385.6600036621094,386.07000732421875,78000
2020-12-29,384.9100036621094,388.2699890136719,381.3699951171875,388.2699890136719,83700
2020-12-30,391.1000061035156,392.2699890136719,384.6300048828125,384.6300048828125,94900
2020-12-31,391.9800109863281,392.9599914550781,389.0299987792969,390.4100036621094,155400
2021-01-04,362.3900146484375,385.0,350.010009765625,352.7799987792969,1452300
2021-01-05,375.489990234375,376.4200134277344,356.010009765625,362.0,874500
2021-01-06,368.8900146484375,378.80999755859375,365.4200134277344,376.9800109863281,690000
2021-01-07,356.1700134277344,374.3800048828125,355.17999267578125,373.0799865722656,683400
2021-01-08,368.3299865722656,369.92999267578125,355.5,356.20001220703125,566200
2021-01-11,372.19000244140625,375.9700012207031,363.29998779296875,366.30999755859375,435900
2021-01-12,382.510009765625,385.69000244140625,372.989990234375,373.32000732421875,442600
2021-01-13,386.9599914550781,391.1099853515625,381.0,382.6400146484375,377800
2021-01-14,388.1199951171875,393.239990234375,386.010009765625,386.1199951171875,348500
2021-01-15,382.5899963378906,386.8900146484375,377.7300109863281,386.8900146484375,453500
2021-01-19,387.2200012207031,390.6700134277344,384.80999755859375,387.010009765625,352400
2021-01-20,387.75,390.95001220703125,386.3500061035156,387.75,377200
2021-01-21,387.67999267578125,390.07000732421875,383.32000732421875,385.67999267578125,336800
2021-01-22,389.1700134277344,390.5199890136719,384.2699890136719,384.4200134277344,251200
2021-01-25,385.95001220703125,389.32000732421875,383.1400146484375,386.2799987792969,279700
2021-01-26,383.67999267578125,390.0,383.20001220703125,389.3399963378906,285600
2021-01-27,387.6199951171875,392.29998779296875,379.1000061035156,383.5799865722656,397400
2021-01-28,367.95001220703125,391.9100036621094,366.1300048828125,389.8299865722656,396600
2021-01-29,357.010009765625,369.4800109863281,353.82000732421875,367.8999938964844,409200
2021-02-01,373.4599914550781,374.2300109863281,362.2200012207031,366.0,296800
2021-02-02,383.7699890136719,386.79998779296875,374.2799987792969,377.4700012207031,299000
2021-02-03,378.5299987792969,384.4200134277344,376.2699890136719,380.7099914550781,219000
2021-02-04,387.44000244140625,387.4599914550781,378.7699890136719,378.7699890136719,236700
2021-02-05,385.1600036621094,390.9800109863281,383.010009765625,387.3599853515625,281500
2021-02-08,387.05999755859375,388.6600036621094,383.29998779296875,386.04998779296875,196100
2021-02-09,389.6499938964844,390.5299987792969,384.3399963378906,385.92999267578125,176200
2021-02-10,388.30999755859375,392.1000061035156,386.2699890136719,389.95001220703125,203500
2021-02-11,388.9599914550781,394.8399963378906,385.7099914550781,387.94000244140625,202200
2021-02-12,387.9100036621094,389.6300048828125,383.3800048828125,385.4700012207031,300400
2021-02-16,390.3699951171875,396.760009765625,389.5899963378906,395.2799987792969,297800
2021-02-17,403.239990234375,409.4800109863281,389.8599853515625,390.25,632600
2021-02-18,408.510009765625,412.3800048828125,397.0899963378906,399.4800109863281,411600
2021-02-19,405.9100036621094,413.30999755859375,404.1099853515625,413.30999755859375,233600
2021-02-22,398.1099853515625,406.1499938964844,397.8999938964844,403.5899963378906,220500
2021-02-23,380.9100036621094,390.989990234375,377.7799987792969,385.44000244140625,296500
2021-02-24,390.82000732421875,395.0199890136719,383.1099853515625,384.3299865722656,420600
2021-02-25,378.04998779296875,389.42999267578125,372.75,389.42999267578125,235400
2021-02-26,371.0,380.7300109863281,370.1099853515625,380.7300109863281,303000
2021-03-01,380.2900085449219,384.0799865722656,376.6199951171875,376.6199951171875,273300
2021-03-02,374.80999755859375,380.42999267578125,373.3299865722656,380.260009765625,233600
2021-03-03,370.6300048828125,377.8999938964844,370.1199951171875,375.2300109863281,238300
2021-03-04,367.6600036621094,370.760009765625,354.1700134277344,369.32000732421875,336200
2021-03-05,387.1499938964844,387.9200134277344,363.32000732421875,373.1600036621094,354800
2021-03-08,390.1300048828125,394.3800048828125,383.6199951171875,389.6400146484375,370800
2021-03-09,383.8900146484375,393.3299865722656,382.6499938964844,390.19000244140625,305600
2021-03-10,390.19000244140625,392.30999755859375,381.8800048828125,387.9800109863281,344200
2021-03-11,390.8599853515625,397.6600036621094,389.57000732421875,390.7900085449219,247000
2021-03-12,395.0400085449219,395.3699951171875,390.0,391.0199890136719,174400
2021-03-15,399.1400146484375,401.3299865722656,390.4800109863281,399.1000061035156,336600
2021-03-16,391.489990234375,399.5899963378906,389.20001220703125,399.1000061035156,172800
2021-03-17,392.760009765625,393.94000244140625,388.5,391.489990234375,165700
2021-03-18,393.3500061035156,398.7099914550781,389.6099853515625,392.70001220703125,228200
2021-03-19,386.3900146484375,393.239990234375,383.5400085449219,392.07000732421875,384700
2021-03-22,394.20001220703125,397.1499938964844,383.75,386.3900146484375,226800
2021-03-23,389.70001220703125,396.9800109863281,387.510009765625,391.30999755859375,216500
2021-03-24,388.1000061035156,395.8599853515625,387.9800109863281,389.260009765625,166000
2021-03-25,398.7200012207031,400.45001220703125,383.8900146484375,384.489990234375,197600
2021-03-26,400.7799987792969,402.6600036621094,393.9100036621094,399.4599914550781,187600
2021-03-29,406.1199951171875,409.70001220703125,397.760009765625,400.19000244140625,241100
2021-03-30,404.4100036621094,407.760009765625,400.4200134277344,406.8900146484375,209400
2021-03-31,413.6499938964844,418.6700134277344,405.25,405.25,480400
2021-04-01,417.42999267578125,424.04998779296875,414.3399963378906,416.1199951171875,472000
2021-04-05,420.94000244140625,423.1000061035156,417.1499938964844,421.7200012207031,304400
2021-04-06,419.5,422.5799865722656,417.2099914550781,419.9800109863281,268200
2021-04-07,415.05999755859375,419.29998779296875,412.25,419.29998779296875,223800
2021-04-08,419.1000061035156,420.1700134277344,411.4800109863281,414.2900085449219,244200
2021-04-09,419.7200012207031,420.5899963378906,416.2300109863281,420.5899963378906,213400
2021-04-12,427.4599914550781,428.6300048828125,419.07000732421875,420.54998779296875,293100
2021-04-13,423.9100036621094,427.0400085449219,423.1199951171875,426.6600036621094,174700
2021-04-14,423.510009765625,428.0799865722656,422.70001220703125,425.7300109863281,208100
2021-04-15,426.80999755859375,428.1700134277344,421.80999755859375,423.5400085449219,196800
2021-04-16,429.25,430.8900146484375,425.75,430.1199951171875,227800
2021-04-19,429.20001220703125,430.45001220703125,426.6300048828125,430.010009765625,341500
2021-04-20,425.6400146484375,431.9200134277344,420.1099853515625,429.42999267578125,270000
2021-04-21,436.010009765625,437.6199951171875,423.3500061035156,426.0299987792969,195100
2021-04-22,437.6499938964844,442.2900085449219,433.67999267578125,434.760009765625,197600
2021-04-23,443.4599914550781,444.1300048828125,436.010009765625,439.5400085449219,173200
2021-04-26,440.4200134277344,446.1199951171875,438.5899963378906,445.9599914550781,190700
2021-04-27,442.9100036621094,445.0799865722656,437.1400146484375,441.44000244140625,231500
2021-04-28,450.2699890136719,453.760009765625,441.3599853515625,452.3599853515625,372300
2021-04-29,452.2200012207031,457.7900085449219,449.2200012207031,453.8699951171875,203300
2021-04-30,447.75,452.75,446.7200012207031,450.5899963378906,194600
2021-05-03,442.1600036621094,449.7699890136719,440.3900146484375,448.489990234375,375000
2021-05-04,432.30999755859375,440.6000061035156,428.3999938964844,440.2799987792969,273300
2021-05-05,429.2799987792969,434.0199890136719,424.2799987792969,434.0199890136719,366200
2021-05-06,433.8699951171875,434.9700012207031,427.2200012207031,429.739990234375,205700
2021-05-07,435.989990234375,439.9800109863281,430.010009765625,432.32000732421875,197900
2021-05-10,431.9800109863281,438.75,431.510009765625,434.6199951171875,551200
2021-05-11,423.6099853515625,428.25,418.25,428.25,258100
2021-05-12,412.4200134277344,424.1099853515625,412.4200134277344,422.1199951171875,454000
2021-05-13,409.4100036621094,417.2099914550781,408.8399963378906,414.4800109863281,1582000
2021-05-14,425.8399963378906,428.3500061035156,412.6300048828125,413.2799987792969,355700
2021-05-17,416.2900085449219,426.1700134277344,415.5299987792969,423.3800048828125,637700
2021-05-18,409.42999267578125,417.739990234375,408.6099853515625,414.6600036621094,473100
2021-05-19,402.5799865722656,405.989990234375,398.44000244140625,405.989990234375,365100
2021-05-20,406.44000244140625,415.54998779296875,400.2799987792969,403.42999267578125,329600
2021-05-21,406.239990234375,411.04998779296875,403.489990234375,409.17999267578125,344500
2021-05-24,410.6700134277344,412.6400146484375,407.0,412.3699951171875,427000
2021-05-25,409.8599853515625,418.9599914550781,408.6300048828125,416.0,304800
2021-05-26,409.3699951171875,413.32000732421875,407.7699890136719,408.8299865722656,308600
2021-05-27,417.3399963378906,418.8800048828125,410.17999267578125,412.0,447000
2021-05-28,419.4700012207031,420.07000732421875,414.1099853515625,416.92999267578125,261300
2021-06-01,429.07000732421875,429.42999267578125,420.2200012207031,422.3699951171875,369100
2021-06-02,423.4200134277344,430.4800109863281,422.57000732421875,429.6400146484375,301200
2021-06-03,421.3599853515625,423.1300048828125,419.760009765625,420.2300109863281,218700
2021-06-04,422.1600036621094,423.6300048828125,420.6400146484375,421.6000061035156,220800
2021-06-07,416.9700012207031,421.8800048828125,415.6199951171875,421.8800048828125,230600
2021-06-08,422.6300048828125,425.04998779296875,415.6199951171875,416.79998779296875,285100
2021-06-09,418.7699890136719,423.3800048828125,415.2699890136719,420.5199890136719,296000
2021-06-10,421.5199890136719,424.42999267578125,419.32000732421875,422.239990234375,202700
2021-06-11,424.0799865722656,424.8999938964844,420.6400146484375,423.7099914550781,179300
2021-06-14,424.80999755859375,424.8999938964844,420.4700012207031,422.1400146484375,526300
2021-06-15,426.6499938964844,428.95001220703125,421.9800109863281,426.5400085449219,306700
2021-06-16,429.4800109863281,431.7799987792969,425.2200012207031,427.2300109863281,316600
2021-06-17,425.989990234375,432.25,423.6499938964844,430.2900085449219,271500
2021-06-18,422.8599853515625,427.3800048828125,421.6400146484375,421.6400146484375,555200
2021-06-21,433.5,434.6099853515625,425.0,425.5299987792969,303700
2021-06-22,429.8999938964844,433.0199890136719,428.70001220703125,432.0,323200
2021-06-23,422.1199951171875,430.7300109863281,421.05999755859375,429.6300048828125,243900
2021-06-24,423.82000732421875,425.25,420.1099853515625,424.8699951171875,199800
2021-06-25,427.6600036621094,428.8699951171875,423.20001220703125,423.82000732421875,278000
2021-06-28,421.4800109863281,426.32000732421875,418.8900146484375,424.69000244140625,229800
2021-06-29,418.0,424.4200134277344,416.17999267578125,421.67999267578125,229700
2021-06-30,418.8299865722656,422.010009765625,415.8500061035156,416.2900085449219,192400
2021-07-01,421.29998779296875,421.30999755859375,417.2200012207031,419.6300048828125,133300
2021-07-02,422.5199890136719,424.42999267578125,420.2799987792969,423.0899963378906,135900
2021-07-06,422.3299865722656,422.4200134277344,414.6600036621094,421.9700012207031,264400
2021-07-07,427.0299987792969,427.2300109863281,419.6199951171875,421.7200012207031,135900
2021-07-08,418.05999755859375,425.29998779296875,416.739990234375,416.739990234375,165400
2021-07-09,426.7900085449219,427.0,421.94000244140625,423.6700134277344,133200
2021-07-12,426.8599853515625,427.2200012207031,422.95001220703125,424.29998779296875,143600
2021-07-13,437.2099914550781,439.57000732421875,424.05999755859375,424.05999755859375,464700
2021-07-14,434.0,438.8999938964844,430.69000244140625,438.8299865722656,215000
2021-07-15,436.4100036621094,438.6000061035156,430.30999755859375,431.510009765625,182900
2021-07-16,434.8599853515625,439.79998779296875,433.2300109863281,439.79998779296875,163300
2021-07-19,420.260009765625,427.9200134277344,417.32000732421875,427.2300109863281,222800
2021-07-20,436.4700012207031,438.8500061035156,421.3699951171875,421.6000061035156,254600
2021-07-21,442.3800048828125,442.3900146484375,433.9700012207031,438.2699890136719,224500
2021-07-22,442.010009765625,442.9800109863281,439.57000732421875,442.4800109863281,195500
