Price,Close,High,Low,Open,Volume
Ticker,TPL,TPL,TPL,TPL,TPL
Date,,,,,
2020-11-27,182.24388122558594,191.9254016489434,181.00623646672963,190.74653655327762,56100
2020-11-30,188.71678161621094,191.2199169116318,181.00622182414077,184.93266051631565,54900
2020-12-01,189.98228454589844,193.6828537876258,186.17652095442446,189.2335024678445,52800
2020-12-02,191.89759826660156,192.76395403924886,188.69208049142887,188.69208049142887,32400
2020-12-03,198.18484497070312,198.20341368179712,191.33136174270783,193.33016805719865,30000
2020-12-04,207.29393005371094,207.93750366539354,198.64275289535718,198.64275289535718,53400
2020-12-07,207.11756896972656,208.04580616076908,203.7728217134047,204.83101154464217,25800
2020-12-08,207.9251251220703,210.0012796055006,205.6509468988027,206.74936182249388,46800
2020-12-09,211.29153442382812,212.84787840282328,205.75305912805217,209.7816051371317,53700
2020-12-10,217.61572265625,219.1794995789141,212.02004901379777,212.02004901379777,51600
2020-12-11,217.29537963867188,218.0301634267978,214.94029970896904,217.45237538447395,28200
2020-12-14,214.78334045410156,217.92344297925848,212.27124980941372,217.92344297925848,27600
2020-12-15,219.80751037597656,220.435536639307,214.78334339214527,214.78334339214527,100800
2020-12-16,226.05630493164062,226.05630493164062,215.88865091490888,219.80749367745187,94200
2020-12-17,227.1961669921875,229.22781186319514,226.19446727642674,227.6577679073112,70800
2020-12-18,232.5626220703125,233.6899241935198,227.65777617054468,228.7787967377706,60300
2020-12-21,227.5007781982422,235.50805196505402,224.6275770894144,227.5949871687365,124500
2020-12-22,219.80751037597656,229.2278324545794,214.10194546152076,228.28266665569566,103800
2020-12-23,219.49351501464844,222.3196117744937,216.79302063867124,220.1215413082601,57000
2020-12-24,217.29537963867188,222.22533641705394,215.0376422461025,217.351899257102,21900
2020-12-28,217.92343139648438,220.06499635529696,214.79274418493787,217.29541954939455,29100
2020-12-29,215.43017578125,220.2345452520481,213.84128719363292,218.3944375627204,32400
2020-12-30,227.18359375,227.18359375,213.84128243934785,213.84128243934785,56100
2020-12-31,228.2858123779297,230.11650522364002,224.2853232472299,226.16938776307052,37500
2021-01-04,237.56793212890625,241.26699220470934,223.1045999016389,227.18360066238918,91800
2021-01-05,249.6385040283203,262.15182263314864,238.96214512545035,238.96214512545035,186900
2021-01-06,249.0167999267578,253.7238275555692,246.97573964762483,248.12502013523556,61800
2021-01-07,244.513916015625,253.7175617839729,240.6986820990929,249.63857433198413,87600
2021-01-08,251.5226287841797,253.34704018870983,237.65905988565473,242.16825477062108,124800
2021-01-11,273.0323181152344,273.0323181152344,250.0153180610886,250.0153180610886,72600
2021-01-12,276.60888671875,277.4096197436036,269.0914603037875,274.7562159452726,118500
2021-01-13,261.94775390625,281.0396016935957,261.94775390625,278.7755679383415,99600
2021-01-14,268.15582275390625,270.0178949840004,261.73115464878225,262.8710058453209,61200
2021-01-15,264.0799255371094,267.18551606158996,255.52941773201502,267.18551606158996,41700
2021-01-19,266.5480041503906,266.9091145523094,258.72912017922044,264.0830181467504,36000
2021-01-20,265.1318359375,269.6755720449524,261.5741173877562,269.6755720449524,50400
2021-01-21,254.63446044921875,266.65793439265707,251.98418986564445,266.65793439265707,68700
2021-01-22,258.2110290527344,263.76901322454336,250.79724031651108,251.77693309525276,62400
2021-01-25,258.74169921875,261.34485086242586,251.53829228163002,257.1747887372769,32400
2021-01-26,261.54888916015625,266.8211113132255,257.2249661054132,260.0008094249423,83100
2021-01-27,253.1240997314453,260.66035840601256,246.49845123112166,260.0229169097693,76800
2021-01-28,262.1990051269531,263.7533527041224,250.26657658320144,250.3419552679322,117300
2021-01-29,261.3322448730469,266.591933338171,252.15056608699092,261.2568949593135,135600
2021-02-01,261.88494873046875,266.81178743195915,258.67891144430894,262.5129606074071,70800
2021-02-02,269.40240478515625,271.33985541239355,265.92316974204886,266.2811178636599,61200
2021-02-03,284.3681335449219,285.74978849384644,268.9062474756335,268.9062474756335,180000
2021-02-04,301.9182434082031,305.8433687317478,283.11528520220855,284.5565935898944,225300
2021-02-05,311.8094482421875,311.8125818324174,303.47872674479265,309.92851789385287,143400
2021-02-08,320.2910461425781,320.2910461425781,309.6335274038206,310.54730006775765,143700
2021-02-09,317.6783752441406,321.8421703279668,312.30251288010453,316.20880727303535,185100
2021-02-10,334.716552734375,334.73541177521366,320.2909101653049,320.2909101653049,180900
2021-02-11,337.5551452636719,340.04212328468475,332.53726146448946,332.66286380154276,126600
2021-02-12,351.6229248046875,351.8521369089195,333.2030456786451,337.8755170305479,117600
