Price,Close,High,Low,Open,Volume
Ticker,WST,WST,WST,WST,WST
Date,,,,,
2020-11-27,274.5409851074219,274.5805015330703,268.3086027537847,268.3086027537847,190600
2020-11-30,271.7754821777344,277.04979552357844,268.5259413768737,276.0917255062757,775400
2020-12-01,268.66412353515625,273.19766016570713,267.913462345387,271.40992666244614,442200
2020-12-02,272.00262451171875,272.9310344636009,265.3059918637608,268.6543081877398,344700
2020-12-03,268.891357421875,273.1681140142685,267.814768362979,270.9852759688803,281900
2020-12-04,268.2097473144531,270.9753235888302,267.3899701138315,268.36778282803397,312400
2020-12-07,264.7626953125,270.4419667887079,263.952774580897,268.81226882832163,367900
2020-12-08,263.9923095703125,265.29608008723017,262.2045759651341,263.79475762210245,682900
2020-12-09,257.9476623535156,264.5356026027381,256.8019270618675,263.9627500280157,766000
2020-12-10,263.389892578125,266.8270682472462,256.634000096867,257.29577215923155,687000
2020-12-11,260.7330017089844,262.5701088521943,259.5477499027675,262.02688602396483,592900
2020-12-14,261.661376953125,268.38760844908984,260.723050327674,261.74037965422707,393700
2020-12-15,263.8935852050781,265.14798305135974,261.79966677020957,262.3231463789267,406500
2020-12-16,264.328125,267.409742496384,260.75265777298534,264.78245831236546,392700
2020-12-17,270.2149353027344,273.4743631777581,266.29376535004593,266.3332817873156,578600
2020-12-18,274.2446594238281,274.75825233630286,266.0171053300852,270.2444581791871,973400
2020-12-21,272.6939697265625,272.6939697265625,263.00463938955573,270.47164570170406,478700
2020-12-22,279.4300842285156,279.8350446624141,272.0717104998845,273.08903983404946,462000
2020-12-23,277.9682922363281,282.1462724111886,275.5879325743372,280.6844661465145,478400
2020-12-24,279.4794921875,281.04993105699725,276.9213536409201,278.32390044494645,147100
2020-12-28,274.1162109375,283.0548783743561,273.8692860896068,283.0548783743561,213100
2020-12-29,274.91632080078125,276.89172012835076,271.4396288354516,274.7681718796539,222700
2020-12-30,276.4966125488281,280.80296808914386,275.6076889883426,276.8423134174053,233700
2020-12-31,279.8251953125,279.9931175214989,272.6841157396114,276.79295004578415,455600
2021-01-04,282.0574035644531,286.0674618355755,276.5559091378327,279.9437117906427,483300
2021-01-05,287.4403076171875,287.75637870228695,280.4671513164928,281.16843968821934,479000
2021-01-06,290.52203369140625,291.1738890343799,281.5141861943675,283.12414169140385,595600
2021-01-07,300.32000732421875,301.31759379611754,291.1146376920896,293.8604420085514,511000
2021-01-08,303.74725341796875,308.2807909146907,300.76441151019895,301.63359197132377,437700
2021-01-11,298.6902770996094,303.71766507682474,297.78158009111894,303.39173743053135,351700
2021-01-12,294.81842041015625,300.06310245586633,293.8702373097074,297.3963318341919,499200
2021-01-13,294.33453369140625,296.7247804154973,291.9442869673152,296.67537734129985,452700
2021-01-14,295.045654296875,297.42601418050924,293.0603682630691,294.35425245302343,434200
